ensembl_gene_id,hgnc_symbol,entrez_id,n_ptcneg_isoforms,categories,max_n_ct_nmd,max_nmd_logfc
ENSG00000125375,DMAC2L,27109,1,truncated_no_ejc,1,1.692
ENSG00000125449,ARMC7,79637,1,truncated_no_ejc,2,1.115
ENSG00000125458,NT5C,30833,2,truncated_no_ejc,4,2.591
ENSG00000125741,OPA3,80207,1,truncated_no_ejc,2,0.977
ENSG00000125775,SDCBP2,27111,3,no_downstream_ejc,4,4.268
ENSG00000126005,MMP24OS,101410538,2,no_downstream_ejc,4,3.288
ENSG00000126456,IRF3,3661,2,no_downstream_ejc,4,3.032
ENSG00000127022,CANX,821,1,truncated_no_ejc,4,1.639
ENSG00000127252,PLAAT1,57110,1,no_downstream_ejc,1,1.765
ENSG00000127663,KDM4B,23030,1,truncated_no_ejc,1,1.315
ENSG00000127922,SEM1,7979,1,no_downstream_ejc,1,2.083
ENSG00000128272,ATF4,468,1,no_downstream_ejc,4,2.551
ENSG00000128309,MPST,4357,1,truncated_no_ejc,2,0.393
ENSG00000129518,EAPP,55837,1,truncated_no_ejc,4,1.762
ENSG00000129667,RHBDF2,79651,1,no_downstream_ejc,1,1.678
ENSG00000130703,OSBPL2,9885,1,truncated_no_ejc,2,1.433
ENSG00000131127,ZNF141,7700,1,truncated_no_ejc,4,1.861
ENSG00000131368,MRPS25,64432,1,truncated_no_ejc,4,1.439
ENSG00000131389,SLC6A6,6533,1,no_downstream_ejc,4,1.359
ENSG00000131400,NAPSA,9476,1,no_downstream_ejc,4,3.842
ENSG00000131791,PRKAB2,5565,2,no_downstream_ejc;truncated_no_ejc,4,0.792
ENSG00000131871,SELENOS,55829,1,no_downstream_ejc,4,2.868
ENSG00000132879,FBXO44,93611,2,no_downstream_ejc,1,1.659
ENSG00000133134,BEX2,84707,1,no_downstream_ejc,1,2.07
ENSG00000133574,GIMAP4,55303,1,truncated_no_ejc,1,3.115
ENSG00000133961,NUMB,8650,1,no_downstream_ejc,1,2.031
ENSG00000134285,FKBP11,51303,1,no_downstream_ejc,1,2.527
ENSG00000134809,TIMM10,26519,1,no_downstream_ejc,1,2.71
ENSG00000135164,DMTF1,9988,1,no_downstream_ejc,4,3.405
ENSG00000135404,CD63,967,1,no_downstream_ejc,3,1.116
ENSG00000135441,BLOC1S1,2647,1,no_downstream_ejc,1,1.698
ENSG00000135932,CAB39,51719,1,no_downstream_ejc,4,2.183
ENSG00000136811,ODF2,4957,2,no_downstream_ejc;truncated_no_ejc,4,2.918
ENSG00000136870,ZNF189,7743,1,truncated_no_ejc,4,2.394
ENSG00000137198,GMPR,2766,1,truncated_no_ejc,4,1.559
ENSG00000137267,TUBB2A,7280,1,truncated_no_ejc,4,2.126
ENSG00000137868,STRA6,64220,2,truncated_no_ejc,2,1.805
ENSG00000138061,CYP1B1,1545,1,no_downstream_ejc,2,1.018
ENSG00000138166,DUSP5,1847,1,no_downstream_ejc,1,1.359
ENSG00000139514,SLC7A1,6541,1,truncated_no_ejc,4,1.395
ENSG00000139531,SUOX,6821,1,no_downstream_ejc,4,3.186
ENSG00000139722,VPS37B,79720,1,truncated_no_ejc,3,2.704
ENSG00000140465,CYP1A1,1543,4,no_downstream_ejc;truncated_no_ejc,1,2.899
ENSG00000140830,TXNL4B,54957,1,no_downstream_ejc,3,1.913
ENSG00000140950,MEAK7,57707,1,truncated_no_ejc,3,1.887
ENSG00000140961,OSGIN1,29948,1,no_downstream_ejc,3,1.334
ENSG00000141252,VPS53,55275,1,no_downstream_ejc,1,1.75
ENSG00000141378,PTRH2,51651,3,no_downstream_ejc,4,3.622
ENSG00000141391,PRELID3A,10650,4,no_downstream_ejc,4,4.039
ENSG00000141526,SLC16A3,9123,1,no_downstream_ejc,3,2.322
ENSG00000141738,GRB7,2886,1,truncated_no_ejc,1,1.513
ENSG00000142186,SCYL1,57410,1,truncated_no_ejc,4,1.208
ENSG00000142528,ZNF473,25888,1,no_downstream_ejc,4,2.39
ENSG00000142910,TINAGL1,64129,1,truncated_no_ejc,4,1.669
ENSG00000143110,C1orf162,128346,3,no_downstream_ejc,3,3.887
ENSG00000143258,USP21,27005,1,no_downstream_ejc,4,0.646
ENSG00000143314,MRPL24,79590,3,no_downstream_ejc,4,5.414
ENSG00000143390,RFX5,5993,1,no_downstream_ejc,3,1.335
ENSG00000143498,TAF1A,9015,2,no_downstream_ejc;truncated_no_ejc,4,2.732
ENSG00000143756,FBXO28,23219,1,truncated_no_ejc,1,1.71
ENSG00000143786,CNIH3,149111,1,truncated_no_ejc,1,1.517
ENSG00000144034,TPRKB,51002,6,no_downstream_ejc,4,4.598
ENSG00000144485,HES6,55502,1,truncated_no_ejc,1,2.16
ENSG00000144524,COPS7B,64708,1,no_downstream_ejc,4,2.12
ENSG00000144713,RPL32,6161,1,no_downstream_ejc,4,2.962
ENSG00000145388,METTL14,57721,1,truncated_no_ejc,3,2.129
ENSG00000145996,CDKAL1,54901,2,truncated_no_ejc,4,4.088
ENSG00000146707,POMZP3,22932,1,truncated_no_ejc,4,1.352
ENSG00000146833,TRIM4,89122,2,truncated_no_ejc,1,1.515
ENSG00000146842,TMEM209,84928,1,truncated_no_ejc,4,2.511
ENSG00000147121,KRABD4,55634,2,no_downstream_ejc;truncated_no_ejc,4,1.34
ENSG00000147419,CCDC25,55246,1,truncated_no_ejc,1,1.018
ENSG00000148690,FRA10AC1,118924,1,truncated_no_ejc,4,4.413
ENSG00000148803,FUOM,282969,1,truncated_no_ejc,2,1.75
ENSG00000148832,PAOX,196743,1,truncated_no_ejc,1,1.854
ENSG00000148835,TAF5,6877,1,truncated_no_ejc,1,1.928
ENSG00000148950,IMMP1L,196294,3,truncated_no_ejc,4,2.043
ENSG00000149179,CSTPP1,79096,1,truncated_no_ejc,4,2.699
ENSG00000149257,SERPINH1,871,1,no_downstream_ejc,4,3.425
ENSG00000149346,SLX4IP,128710,1,truncated_no_ejc,4,0.965
ENSG00000149798,CDC42EP2,10435,1,no_downstream_ejc,1,1.551
ENSG00000150316,CWC15,51503,1,no_downstream_ejc,4,3.111
ENSG00000150776,NKAPD1,55216,2,truncated_no_ejc,4,2.23
ENSG00000150977,RILPL2,196383,1,truncated_no_ejc,4,1.853
ENSG00000151746,BICD1,636,1,no_downstream_ejc,3,1.929
ENSG00000152904,GGPS1,9453,1,no_downstream_ejc,4,0.577
ENSG00000153037,SRP19,6728,2,truncated_no_ejc,4,3.243
ENSG00000154277,UCHL1,7345,1,no_downstream_ejc,1,1.522
ENSG00000155265,GOLGA7B,401647,1,no_downstream_ejc,1,2.252
ENSG00000156265,MAP3K7CL,56911,1,no_downstream_ejc,4,2.43
ENSG00000156469,MTERF3,51001,1,no_downstream_ejc,4,2.775
ENSG00000156603,MED19,219541,1,truncated_no_ejc,4,3.236
ENSG00000156873,PHKG2,5261,2,no_downstream_ejc,3,3.5
ENSG00000157181,ODR4,54953,1,truncated_no_ejc,1,0.743
ENSG00000158301,GPRASP2,114928,1,no_downstream_ejc,4,1.142
ENSG00000159256,MORC3,23515,1,truncated_no_ejc,4,1.501
ENSG00000160179,ABCG1,9619,1,truncated_no_ejc,1,1.636
ENSG00000160310,PRMT2,3275,1,no_downstream_ejc,1,0.401
ENSG00000160325,CACFD1,11094,1,truncated_no_ejc,4,2.562
ENSG00000160570,DEDD2,162989,1,no_downstream_ejc,1,3.257
ENSG00000161010,MRNIP,51149,1,truncated_no_ejc,3,1.863
ENSG00000161179,YDJC,150223,1,truncated_no_ejc,1,1.522
ENSG00000162086,ZNF75A,7627,2,no_downstream_ejc;truncated_no_ejc,4,1.709
ENSG00000162194,LBHD1,79081,2,no_downstream_ejc,4,2.842
ENSG00000162434,JAK1,3716,1,truncated_no_ejc,4,1.018
ENSG00000162458,FBLIM1,54751,1,no_downstream_ejc,1,1.976
ENSG00000162852,CNST,163882,1,no_downstream_ejc,1,1.835
ENSG00000163162,RNF149,284996,1,truncated_no_ejc,2,1.77
ENSG00000163472,TMEM79,84283,2,no_downstream_ejc,4,2.15
ENSG00000163660,CCNL1,57018,1,truncated_no_ejc,4,3.803
ENSG00000163687,DNASE1L3,1776,1,no_downstream_ejc,1,4.242
ENSG00000163728,TTC14,151613,1,truncated_no_ejc,4,4.456
ENSG00000163867,ZMYM6,9204,1,no_downstream_ejc,3,2.7
ENSG00000163882,POLR2H,5437,2,no_downstream_ejc,4,3.328
ENSG00000164002,EXO5,64789,1,no_downstream_ejc,4,3.167
ENSG00000164244,PRRC1,133619,1,no_downstream_ejc,1,0.963
ENSG00000164483,SAMD3,154075,1,no_downstream_ejc,1,2.612
ENSG00000164535,DAGLB,221955,1,truncated_no_ejc,4,3.343
ENSG00000164978,NUDT2,318,3,no_downstream_ejc,4,2.871
ENSG00000165006,UBAP1,51271,1,no_downstream_ejc,3,0.589
ENSG00000165055,METTL2B,55798,1,truncated_no_ejc,3,1.129
ENSG00000165806,CASP7,840,1,truncated_no_ejc,2,1.144
ENSG00000165948,IFI27L1,122509,1,truncated_no_ejc,1,1.117
ENSG00000166024,R3HCC1L,27291,5,no_downstream_ejc,4,1.02
ENSG00000166340,TPP1,1200,1,truncated_no_ejc,4,4.628
ENSG00000166452,AKIP1,56672,2,no_downstream_ejc;truncated_no_ejc,4,1.778
ENSG00000167136,ENDOG,2021,1,truncated_no_ejc,2,1.259
ENSG00000167232,ZNF91,7644,1,truncated_no_ejc,3,1.858
ENSG00000168056,LTBP3,4054,1,no_downstream_ejc,3,1.758
ENSG00000168101,NUDT16L1,84309,1,truncated_no_ejc,4,3.454
ENSG00000168237,GLYCTK,132158,1,truncated_no_ejc,1,1.339
ENSG00000168395,ING5,84289,1,truncated_no_ejc,4,1.631
ENSG00000168439,STIP1,10963,1,truncated_no_ejc,4,2.325
ENSG00000168564,CDKN2AIP,55602,1,truncated_no_ejc,4,3.489
ENSG00000168734,PKIG,11142,1,no_downstream_ejc,3,2.414
ENSG00000168894,RNF181,51255,1,truncated_no_ejc,2,2.902
ENSG00000169057,MECP2,4204,1,truncated_no_ejc,3,0.913
ENSG00000169239,CA5B,11238,5,no_downstream_ejc;truncated_no_ejc,4,3.583
ENSG00000169756,LIMS1,3987,1,truncated_no_ejc,1,1.171
ENSG00000170088,TMEM192,201931,1,truncated_no_ejc,1,1.187
ENSG00000170145,SIK2,23235,1,truncated_no_ejc,1,1.97
ENSG00000170265,ZNF282,8427,1,truncated_no_ejc,1,1.235
ENSG00000170631,ZNF16,7564,1,no_downstream_ejc,4,2.548
ENSG00000170892,TSEN34,79042,1,no_downstream_ejc,4,4.108
ENSG00000171097,KYAT1,883,1,no_downstream_ejc,2,1.685
ENSG00000171792,RHNO1,83695,1,truncated_no_ejc,4,3.219
ENSG00000172273,HINFP,25988,1,no_downstream_ejc,4,1.868
ENSG00000172331,BPGM,669,1,no_downstream_ejc,4,1.229
ENSG00000172780,RAB43,339122,1,truncated_no_ejc,1,2.258
ENSG00000172889,EGFL7,51162,1,no_downstream_ejc,1,4.198
ENSG00000172932,ANKRD13D,338692,1,truncated_no_ejc,4,1.271
ENSG00000173200,PARP15,165631,1,no_downstream_ejc,1,1.69
ENSG00000173575,CHD2,1106,1,truncated_no_ejc,1,1.45
ENSG00000173915,ATP5MK,84833,1,no_downstream_ejc,4,1.418
ENSG00000173926,MARCHF3,115123,1,no_downstream_ejc,2,3.483
ENSG00000173933,RBM4,5936,3,no_downstream_ejc;truncated_no_ejc,4,4.621
ENSG00000174021,GNG5,2787,1,no_downstream_ejc,4,3.753
ENSG00000174227,PIGG,54872,1,truncated_no_ejc,4,2.743
ENSG00000174428,GTF2IRD2B,389524,2,no_downstream_ejc,3,1.393
ENSG00000174669,SLC29A2,3177,1,no_downstream_ejc,3,2.313
ENSG00000174775,HRAS,3265,1,truncated_no_ejc,4,1.589
ENSG00000174796,THAP6,152815,1,truncated_no_ejc,3,0.882
ENSG00000174886,NDUFA11,126328,1,truncated_no_ejc,2,1.282
ENSG00000174928,C3orf33,285315,1,no_downstream_ejc,4,2.648
ENSG00000175197,DDIT3,1649,3,no_downstream_ejc,4,4.367
ENSG00000175592,FOSL1,8061,1,truncated_no_ejc,1,0.805
ENSG00000176148,TCP11L1,55346,1,no_downstream_ejc,1,1.339
ENSG00000176915,ANKLE2,23141,1,truncated_no_ejc,4,0.659
ENSG00000177150,FAM210A,125228,2,no_downstream_ejc,4,2.021
ENSG00000178295,GEN1,348654,1,no_downstream_ejc,1,3.181
ENSG00000178381,ZFAND2A,90637,2,no_downstream_ejc;truncated_no_ejc,4,2.569
ENSG00000179526,SHARPIN,81858,1,truncated_no_ejc,4,1.332
ENSG00000180190,TDRP,157695,1,truncated_no_ejc,4,1.64
ENSG00000181450,ZNF678,339500,2,truncated_no_ejc,4,2.333
ENSG00000182224,CYB5D1,124637,1,truncated_no_ejc,2,1.73
ENSG00000182318,ZSCAN22,342945,1,truncated_no_ejc,4,3.092
ENSG00000183607,GKN2,200504,1,truncated_no_ejc,1,3.074
ENSG00000184076,UQCR10,29796,1,truncated_no_ejc,4,0.534
ENSG00000184254,ALDH1A3,220,1,truncated_no_ejc,1,0.829
ENSG00000184281,TSSC4,10078,1,no_downstream_ejc,4,4.545
ENSG00000185829,ARL17A,51326,1,truncated_no_ejc,3,0.921
ENSG00000186577,SMIM29,221491,3,no_downstream_ejc;truncated_no_ejc,4,2.359
ENSG00000187838,PLSCR3,57048,1,no_downstream_ejc,1,1.524
ENSG00000188015,S100A3,6274,2,no_downstream_ejc,1,4.852
ENSG00000189067,LITAF,9516,1,no_downstream_ejc,1,2.178
ENSG00000189171,S100A13,6284,2,no_downstream_ejc,4,2.59
ENSG00000196275,GTF2IRD2,84163,2,no_downstream_ejc,3,1.734
ENSG00000196363,WDR5,11091,1,no_downstream_ejc,4,1.768
ENSG00000196437,ZNF569,148266,1,no_downstream_ejc,4,3.017
ENSG00000196459,TRAPPC2,6399,2,no_downstream_ejc,4,3.194
ENSG00000196465,MYL6B,140465,1,no_downstream_ejc,1,2.563
ENSG00000196510,ANAPC7,51434,1,truncated_no_ejc,4,1.745
ENSG00000196639,HRH1,3269,1,no_downstream_ejc,1,1.082
ENSG00000196873,ZNG1B,150472,2,no_downstream_ejc,4,2.168
ENSG00000197016,ZNF470,388566,1,truncated_no_ejc,3,1.722
ENSG00000197021,EOLA2,541578,1,no_downstream_ejc,4,1.606
ENSG00000197622,CDC42SE1,56882,1,no_downstream_ejc,4,1.47
ENSG00000197641,SERPINB13,5275,1,truncated_no_ejc,1,2.151
ENSG00000197857,ZNF44,51710,2,truncated_no_ejc,4,2.655
ENSG00000197928,ZNF677,342926,1,no_downstream_ejc,3,1.383
ENSG00000197943,PLCG2,5336,1,truncated_no_ejc,1,3.717
ENSG00000198026,ZNF335,63925,2,no_downstream_ejc;truncated_no_ejc,4,2.635
ENSG00000203326,ZNF525,170958,1,truncated_no_ejc,1,2.074
ENSG00000204130,RUFY2,55680,1,truncated_no_ejc,1,0.962
ENSG00000204568,MRPS18B,28973,1,truncated_no_ejc,4,2.241
ENSG00000204611,ZNF616,90317,1,truncated_no_ejc,3,0.806
ENSG00000205758,CRYZL1,9946,1,truncated_no_ejc,3,1.279
ENSG00000206053,JPT2,90861,1,truncated_no_ejc,4,2.446
ENSG00000206072,SERPINB11,89778,1,no_downstream_ejc,1,2.016
ENSG00000213185,FAM24B,196792,3,no_downstream_ejc,4,4.129
ENSG00000213380,COG8,84342,1,no_downstream_ejc,4,2.248
ENSG00000213398,LCAT,3931,1,no_downstream_ejc,4,3.317
ENSG00000213465,ARL2,402,1,no_downstream_ejc,4,1.498
ENSG00000213676,ATF6B,1388,1,truncated_no_ejc,1,0.542
ENSG00000213793,ZNF888,388559,1,no_downstream_ejc,2,2.588
ENSG00000213983,AP1G2,8906,1,no_downstream_ejc,1,1.964
ENSG00000214078,CPNE1,8904,1,no_downstream_ejc,4,4.533
ENSG00000214860,EVPLL,645027,1,truncated_no_ejc,2,2.056
ENSG00000225950,NTF4,4909,1,no_downstream_ejc,1,1.345
ENSG00000234465,PINLYP,390940,1,no_downstream_ejc,1,2.46
ENSG00000237651,C2orf74,339804,2,no_downstream_ejc,4,1.548
ENSG00000239306,RBM14,10432,1,truncated_no_ejc,1,1.502
ENSG00000239382,ALKBH6,84964,1,no_downstream_ejc,2,1.482
ENSG00000239672,NME1,4830,1,no_downstream_ejc,4,0.557
ENSG00000242028,HYPK,25764,3,no_downstream_ejc,4,3.453
ENSG00000244405,ETV5,2119,1,truncated_no_ejc,2,1.958
ENSG00000250571,GLI4,2738,2,truncated_no_ejc,4,2.535
ENSG00000254093,PINX1,54984,1,truncated_no_ejc,4,1.565
ENSG00000254858,MPV17L2,84769,1,no_downstream_ejc,1,1.496
ENSG00000259112,NDUFC2-KCTD14,100532726,1,truncated_no_ejc,4,2.377
ENSG00000265681,RPL17,6139,1,no_downstream_ejc,4,3.961
ENSG00000268350,FAM156A,29057,1,no_downstream_ejc,3,1.591
ENSG00000269226,TMSB15B,286527,1,no_downstream_ejc,2,1.57
ENSG00000269335,IKBKG,8517,1,truncated_no_ejc,4,3.109
ENSG00000272047,GTF2H5,404672,2,no_downstream_ejc,4,2.346
ENSG00000277149,TYW1B,441250,1,truncated_no_ejc,3,1.413
ENSG00000277791,PSMB3,5691,1,truncated_no_ejc,4,3.317
ENSG00000284194,SCO2,9997,1,no_downstream_ejc,1,1.368
ENSG00000288637,,,1,no_downstream_ejc,1,2.512
