isoform_id,reference_isoform_id,ensembl_gene_id,category,ref_orf_length,comp_orf_length,n_downstream_ejc,n_ct_nmd,max_nmd_logfc
ENSG00000077238.15.novel2,ENST00000395762.7,ENSG00000077238,truncated_no_ejc,2475,912,0,4,2.865
ENSG00000081923.16.novel32,ENST00000648908.2,ENSG00000081923,truncated_no_ejc,3753,1980,0,3,1.591
ENSG00000082556.14.novel1,ENST00000673285.2,ENSG00000082556,truncated_no_ejc,1140,348,0,1,1.443
ENSG00000083845.10.novel1,ENST00000196551.8,ENSG00000083845,no_downstream_ejc,612,612,0,3,2.314
ENSG00000086200.18.novel22,ENST00000409534.1,ENSG00000086200,no_downstream_ejc,282,282,0,4,3.738
ENSG00000086200.18.novel23,ENST00000409534.1,ENSG00000086200,no_downstream_ejc,282,282,0,4,3.743
ENSG00000086200.18.novel28,ENST00000409534.1,ENSG00000086200,no_downstream_ejc,282,282,0,1,2.003
ENSG00000086730.18.novel5,ENST00000344995.9,ENSG00000086730,no_downstream_ejc,729,729,0,4,2.895
ENSG00000088035.19.novel1,ENST00000263440.6,ENSG00000088035,truncated_no_ejc,1521,1335,0,4,2.434
ENSG00000088726.16.novel5,ENST00000435218.6,ENSG00000088726,truncated_no_ejc,609,471,0,1,1.656
ENSG00000088992.19.novel1,ENST00000335209.12,ENSG00000088992,truncated_no_ejc,642,360,0,1,2.528
ENSG00000090989.19.novel54,ENST00000892248.1,ENSG00000090989,truncated_no_ejc,2637,2556,0,1,1.571
ENSG00000092199.20.novel1,ENST00000553300.6,ENSG00000092199,no_downstream_ejc,879,879,0,4,2.372
ENSG00000093144.20.novel4,ENST00000454859.8,ENSG00000093144,truncated_no_ejc,903,435,0,4,2.968
ENSG00000095574.13.novel4,ENST00000368886.10,ENSG00000095574,truncated_no_ejc,1257,540,0,4,1.912
ENSG00000096063.17.novel2,ENST00000373825.7,ENSG00000096063,truncated_no_ejc,1965,534,0,2,1.618
ENSG00000099849.16.novel1,ENST00000397582.7,ENSG00000099849,truncated_no_ejc,1011,960,0,4,1.29
ENSG00000100227.20.novel2,ENST00000252115.10,ENSG00000100227,truncated_no_ejc,1263,1026,0,4,0.747
ENSG00000100603.15.novel1,ENST00000261531.12,ENSG00000100603,truncated_no_ejc,1608,1290,0,4,1.788
ENSG00000100814.20.novel6,ENST00000358932.9,ENSG00000100814,no_downstream_ejc,831,831,0,4,0.894
ENSG00000101152.13.novel10,ENST00000360864.9,ENSG00000101152,no_downstream_ejc,594,594,0,4,3.225
ENSG00000102225.18.novel1,ENST00000357227.9,ENSG00000102225,no_downstream_ejc,1488,1488,0,4,0.706
ENSG00000103550.15.novel2,ENST00000219837.12,ENSG00000103550,no_downstream_ejc,1374,1374,0,4,2.812
ENSG00000104365.17.novel10,ENST00000520810.6,ENSG00000104365,truncated_no_ejc,2268,399,0,1,1.123
ENSG00000104946.15.novel2,ENST00000221543.10,ENSG00000104946,truncated_no_ejc,1944,1503,0,4,1.946
ENSG00000105499.15.novel3,ENST00000599921.6,ENSG00000105499,truncated_no_ejc,1623,831,0,1,2.043
ENSG00000106258.17.novel71,ENST00000222982.8,ENSG00000106258,truncated_no_ejc,1506,1143,0,1,2.536
ENSG00000106404.14.novel6,ENST00000401528.5,ENSG00000106404,no_downstream_ejc,684,684,0,4,2.73
ENSG00000106404.14.novel7,ENST00000401528.5,ENSG00000106404,no_downstream_ejc,684,684,0,4,4.109
ENSG00000109016.19.novel1,ENST00000395511.8,ENSG00000109016,truncated_no_ejc,975,861,0,4,1.628
ENSG00000109065.13.novel1,ENST00000580301.5,ENSG00000109065,truncated_no_ejc,618,402,0,4,2.736
ENSG00000110851.13.novel5,ENST00000228437.10,ENSG00000110851,truncated_no_ejc,2403,1137,0,1,1.201
ENSG00000111269.4.novel4,ENST00000228865.3,ENSG00000111269,truncated_no_ejc,360,249,0,1,1.187
ENSG00000114023.16.novel23,ENST00000477892.5,ENSG00000114023,no_downstream_ejc,462,462,0,1,4.546
ENSG00000114648.13.novel67,ENST00000232766.6,ENSG00000114648,no_downstream_ejc,1722,1737,0,1,0.497
ENSG00000115946.9.novel1,ENST00000263657.7,ENSG00000115946,truncated_no_ejc,756,639,0,4,1.59
ENSG00000116704.9.novel2,ENST00000235345.6,ENSG00000116704,truncated_no_ejc,1065,1017,0,4,1.722
ENSG00000117525.15.novel11,ENST00000334047.12,ENSG00000117525,truncated_no_ejc,885,423,0,1,1.556
ENSG00000117859.20.novel8,ENST00000531828.5,ENSG00000117859,truncated_no_ejc,1713,1674,0,4,2.422
ENSG00000118292.10.novel1,ENST00000877313.1,ENSG00000118292,truncated_no_ejc,396,363,0,1,3.786
ENSG00000119599.19.novel7,ENST00000892932.1,ENSG00000119599,truncated_no_ejc,1488,816,0,4,3.421
ENSG00000119707.15.novel11,ENST00000525321.5,ENSG00000119707,truncated_no_ejc,900,882,0,4,3.298
ENSG00000121289.19.novel16,ENST00000305768.10,ENSG00000121289,truncated_no_ejc,2349,771,0,4,1.629
ENSG00000121931.17.novel2,ENST00000485275.2,ENSG00000121931,no_downstream_ejc,699,699,0,4,2.641
ENSG00000122026.13.novel2,ENST00000311549.11,ENSG00000122026,truncated_no_ejc,480,423,0,4,3.136
ENSG00000122335.18.novel2,ENST00000647468.2,ENSG00000122335,truncated_no_ejc,1962,501,0,4,3.435
ENSG00000122565.20.novel1,ENST00000396386.7,ENSG00000122565,truncated_no_ejc,549,345,0,4,1.99
ENSG00000123395.16.novel1,ENST00000336854.9,ENSG00000123395,no_downstream_ejc,654,654,0,4,2.869
ENSG00000124508.18.novel1,ENST00000356709.9,ENSG00000124508,no_downstream_ejc,1569,1569,0,4,1.861
ENSG00000124596.18.novel1,ENST00000479950.5,ENSG00000124596,truncated_no_ejc,456,258,0,4,1.31
ENSG00000124641.17.novel1,ENST00000265350.9,ENSG00000124641,truncated_no_ejc,636,195,0,4,2.926
ENSG00000125257.17.novel6,ENST00000645237.2,ENSG00000125257,truncated_no_ejc,3975,633,0,3,1.566
ENSG00000125375.19.novel4,ENST00000554438.6,ENSG00000125375,truncated_no_ejc,600,363,0,1,1.692
ENSG00000125458.8.novel4,ENST00000245552.7,ENSG00000125458,truncated_no_ejc,603,375,0,4,1.441
ENSG00000125741.6.novel8,ENST00000263275.5,ENSG00000125741,truncated_no_ejc,537,279,0,2,0.977
ENSG00000125775.16.novel23,ENST00000360779.4,ENSG00000125775,no_downstream_ejc,876,876,0,4,4.268
ENSG00000125775.16.novel7,ENST00000360779.4,ENSG00000125775,no_downstream_ejc,876,876,0,4,2.245
ENSG00000126005.18.novel6,ENST00000424358.1,ENSG00000126005,no_downstream_ejc,213,213,0,4,1.6
ENSG00000126005.18.novel7,ENST00000424358.1,ENSG00000126005,no_downstream_ejc,213,213,0,4,3.288
ENSG00000126456.17.novel3,ENST00000377139.8,ENSG00000126456,no_downstream_ejc,1281,1281,0,4,3.032
ENSG00000127022.17.novel5,ENST00000247461.9,ENSG00000127022,truncated_no_ejc,1776,735,0,4,1.639
ENSG00000127663.17.novel1,ENST00000611640.4,ENSG00000127663,truncated_no_ejc,3390,897,0,1,1.315
ENSG00000128309.19.novel2,ENST00000429360.6,ENSG00000128309,truncated_no_ejc,951,711,0,2,0.393
ENSG00000129518.11.novel1,ENST00000250454.8,ENSG00000129518,truncated_no_ejc,855,417,0,4,1.762
ENSG00000129667.14.novel1,ENST00000675367.1,ENSG00000129667,no_downstream_ejc,2481,2481,0,1,1.678
ENSG00000130703.18.novel23,ENST00000313733.9,ENSG00000130703,truncated_no_ejc,1440,783,0,2,1.433
ENSG00000131127.15.novel2,ENST00000240499.8,ENSG00000131127,truncated_no_ejc,1422,231,0,4,1.861
ENSG00000131389.19.novel3,ENST00000621751.4,ENSG00000131389,no_downstream_ejc,600,693,0,4,1.359
ENSG00000131400.10.novel51,ENST00000253719.7,ENSG00000131400,no_downstream_ejc,1260,1260,0,4,3.842
ENSG00000131791.9.novel1,ENST00000254101.4,ENSG00000131791,truncated_no_ejc,816,795,0,4,0.792
ENSG00000134285.12.novel8,ENST00000550765.6,ENSG00000134285,no_downstream_ejc,603,603,0,1,2.527
ENSG00000134809.10.novel1,ENST00000257245.9,ENSG00000134809,no_downstream_ejc,270,270,0,1,2.71
ENSG00000135441.9.novel1,ENST00000548925.6,ENSG00000135441,no_downstream_ejc,459,459,0,1,1.698
ENSG00000136811.17.novel10,ENST00000372807.10,ENSG00000136811,truncated_no_ejc,2472,1956,0,4,2.521
ENSG00000136811.17.novel3,ENST00000372807.10,ENSG00000136811,no_downstream_ejc,2472,2472,0,4,2.918
ENSG00000136870.11.novel6,ENST00000374861.7,ENSG00000136870,truncated_no_ejc,1836,150,0,4,2.394
ENSG00000137198.11.novel4,ENST00000259727.5,ENSG00000137198,truncated_no_ejc,1035,948,0,4,1.559
ENSG00000137868.20.novel1,ENST00000395105.9,ENSG00000137868,truncated_no_ejc,2001,477,0,2,1.805
ENSG00000137868.20.novel2,ENST00000395105.9,ENSG00000137868,truncated_no_ejc,2001,477,0,1,1.329
ENSG00000138166.7.novel1,ENST00000369583.4,ENSG00000138166,no_downstream_ejc,1152,1152,0,1,1.359
ENSG00000139514.14.novel2,ENST00000380752.10,ENSG00000139514,truncated_no_ejc,1887,867,0,4,1.395
ENSG00000139531.14.novel12,ENST00000266971.8,ENSG00000139531,no_downstream_ejc,1635,1635,0,4,3.186
ENSG00000139722.8.novel21,ENST00000267202.7,ENSG00000139722,truncated_no_ejc,855,330,0,3,2.704
ENSG00000140465.16.novel1,ENST00000379727.8,ENSG00000140465,truncated_no_ejc,1536,1452,0,1,2.12
ENSG00000140465.16.novel4,ENST00000379727.8,ENSG00000140465,truncated_no_ejc,1536,1254,0,1,2.637
ENSG00000141378.16.novel1,ENST00000393038.3,ENSG00000141378,no_downstream_ejc,537,537,0,4,3.622
ENSG00000141391.14.novel3,ENST00000590956.5,ENSG00000141391,no_downstream_ejc,246,246,0,3,2.104
ENSG00000141526.19.novel1,ENST00000582743.6,ENSG00000141526,no_downstream_ejc,1395,1464,0,3,2.322
ENSG00000141738.15.novel2,ENST00000309156.9,ENSG00000141738,truncated_no_ejc,1596,1341,0,1,1.513
ENSG00000142910.17.novel18,ENST00000271064.12,ENSG00000142910,truncated_no_ejc,1401,1320,0,4,1.669
ENSG00000143110.13.novel4,ENST00000369718.4,ENSG00000143110,no_downstream_ejc,390,390,0,3,3.728
ENSG00000143110.13.novel5,ENST00000369718.4,ENSG00000143110,no_downstream_ejc,390,390,0,1,2.967
ENSG00000143110.13.novel6,ENST00000369718.4,ENSG00000143110,no_downstream_ejc,390,390,0,1,3.887
ENSG00000143314.13.novel1,ENST00000368211.8,ENSG00000143314,no_downstream_ejc,648,648,0,3,1.222
ENSG00000143314.13.novel20,ENST00000368211.8,ENSG00000143314,no_downstream_ejc,648,648,0,4,5.414
ENSG00000143390.19.novel2,ENST00000452671.7,ENSG00000143390,no_downstream_ejc,1848,1848,0,3,1.335
ENSG00000143498.19.novel7,ENST00000352967.9,ENSG00000143498,truncated_no_ejc,1350,1236,0,4,2.085
ENSG00000143756.12.novel2,ENST00000366862.10,ENSG00000143756,truncated_no_ejc,1104,882,0,1,1.71
ENSG00000144034.17.novel32,ENST00000272424.11,ENSG00000144034,no_downstream_ejc,525,525,0,4,4.598
ENSG00000144034.17.novel33,ENST00000272424.11,ENSG00000144034,no_downstream_ejc,525,525,0,1,4.596
ENSG00000145388.16.novel1,ENST00000388822.10,ENSG00000145388,truncated_no_ejc,1368,942,0,3,2.129
ENSG00000145996.12.novel5,ENST00000274695.8,ENSG00000145996,truncated_no_ejc,1737,291,0,4,4.088
ENSG00000146707.16.novel3,ENST00000310842.9,ENSG00000146707,truncated_no_ejc,561,228,0,4,1.352
ENSG00000146833.17.novel12,ENST00000349062.7,ENSG00000146833,truncated_no_ejc,1422,855,0,1,1.515
ENSG00000146842.18.novel11,ENST00000397622.7,ENSG00000146842,truncated_no_ejc,1683,1113,0,4,2.511
ENSG00000147419.20.novel10,ENST00000356537.9,ENSG00000147419,truncated_no_ejc,624,276,0,1,1.018
ENSG00000148690.13.novel51,ENST00000359204.5,ENSG00000148690,truncated_no_ejc,945,399,0,4,4.413
ENSG00000148803.14.novel1,ENST00000278025.9,ENSG00000148803,truncated_no_ejc,462,399,0,2,1.75
ENSG00000148832.17.novel2,ENST00000278060.10,ENSG00000148832,truncated_no_ejc,1533,1218,0,1,1.854
ENSG00000148950.12.novel30,ENST00000532287.6,ENSG00000148950,truncated_no_ejc,498,333,0,4,1.515
ENSG00000148950.12.novel45,ENST00000532287.6,ENSG00000148950,truncated_no_ejc,498,333,0,4,1.963
ENSG00000149179.15.novel8,ENST00000278460.12,ENSG00000149179,truncated_no_ejc,993,318,0,4,2.699
ENSG00000149346.16.novel1,ENST00000334534.10,ENSG00000149346,truncated_no_ejc,1224,417,0,4,0.965
ENSG00000150776.19.novel1,ENST00000393047.8,ENSG00000150776,truncated_no_ejc,879,345,0,4,2.23
ENSG00000151746.16.novel3,ENST00000550207.1,ENSG00000151746,no_downstream_ejc,237,642,0,3,1.929
ENSG00000153037.16.novel4,ENST00000505459.6,ENSG00000153037,truncated_no_ejc,432,201,0,1,1.107
ENSG00000154277.14.novel4,ENST00000284440.9,ENSG00000154277,no_downstream_ejc,669,774,0,1,1.522
ENSG00000156469.10.novel1,ENST00000287025.4,ENSG00000156469,no_downstream_ejc,1251,1251,0,4,2.775
ENSG00000156873.17.novel14,ENST00000563588.6,ENSG00000156873,no_downstream_ejc,1218,1218,0,3,3.448
ENSG00000156873.17.novel9,ENST00000563588.6,ENSG00000156873,no_downstream_ejc,1218,1218,0,3,3.5
ENSG00000157181.17.novel74,ENST00000287859.11,ENSG00000157181,truncated_no_ejc,1362,1014,0,1,0.743
ENSG00000159256.13.novel33,ENST00000400485.6,ENSG00000159256,truncated_no_ejc,2817,1296,0,4,1.501
ENSG00000160179.21.novel1,ENST00000398449.8,ENSG00000160179,truncated_no_ejc,1998,1854,0,1,1.636
ENSG00000160310.21.novel2,ENST00000397628.5,ENSG00000160310,no_downstream_ejc,759,759,0,1,0.401
ENSG00000160570.15.novel6,ENST00000596251.6,ENSG00000160570,no_downstream_ejc,978,978,0,1,3.257
ENSG00000161179.15.novel9,ENST00000292778.11,ENSG00000161179,truncated_no_ejc,969,543,0,1,1.522
ENSG00000162086.17.novel3,ENST00000669516.2,ENSG00000162086,no_downstream_ejc,1611,1611,0,4,1.22
ENSG00000162086.17.novel4,ENST00000669516.2,ENSG00000162086,truncated_no_ejc,1611,459,0,4,1.709
ENSG00000162194.13.novel1,ENST00000354588.8,ENSG00000162194,no_downstream_ejc,789,789,0,4,2.842
ENSG00000162434.15.novel4,ENST00000342505.5,ENSG00000162434,truncated_no_ejc,3462,387,0,4,1.018
ENSG00000163162.10.novel38,ENST00000295317.4,ENSG00000163162,truncated_no_ejc,1200,1176,0,2,1.77
ENSG00000163472.20.novel56,ENST00000405535.3,ENSG00000163472,no_downstream_ejc,1182,1182,0,1,1.83
ENSG00000163660.13.novel57,ENST00000295926.8,ENSG00000163660,truncated_no_ejc,1578,516,0,4,3.803
ENSG00000163687.15.novel1,ENST00000394549.7,ENSG00000163687,no_downstream_ejc,915,915,0,1,4.242
ENSG00000163728.12.novel20,ENST00000296015.9,ENSG00000163728,truncated_no_ejc,2310,1302,0,4,4.456
ENSG00000163867.18.novel26,ENST00000859303.1,ENSG00000163867,no_downstream_ejc,3975,3975,0,3,2.7
ENSG00000164244.22.novel1,ENST00000296666.13,ENSG00000164244,no_downstream_ejc,1335,1335,0,1,0.963
ENSG00000164483.17.novel4,ENST00000368134.6,ENSG00000164483,no_downstream_ejc,1560,1560,0,1,2.612
ENSG00000164535.16.novel5,ENST00000297056.11,ENSG00000164535,truncated_no_ejc,2016,927,0,4,3.343
ENSG00000165055.17.novel20,ENST00000262432.13,ENSG00000165055,truncated_no_ejc,1134,843,0,3,1.129
ENSG00000165806.22.novel2,ENST00000369318.8,ENSG00000165806,truncated_no_ejc,909,867,0,2,1.144
ENSG00000165948.12.novel1,ENST00000555523.6,ENSG00000165948,truncated_no_ejc,312,276,0,1,1.117
ENSG00000166340.19.novel22,ENST00000299427.12,ENSG00000166340,truncated_no_ejc,1689,963,0,4,4.628
ENSG00000167136.8.novel2,ENST00000372642.5,ENSG00000167136,truncated_no_ejc,891,747,0,2,1.259
ENSG00000168439.18.novel1,ENST00000305218.9,ENSG00000168439,truncated_no_ejc,1629,1614,0,4,2.325
ENSG00000168894.11.novel4,ENST00000306368.9,ENSG00000168894,truncated_no_ejc,459,243,0,2,2.902
ENSG00000169239.15.novel10,ENST00000318636.8,ENSG00000169239,truncated_no_ejc,951,405,0,4,3.326
ENSG00000169239.15.novel11,ENST00000318636.8,ENSG00000169239,truncated_no_ejc,951,405,0,4,2.648
ENSG00000169239.15.novel12,ENST00000318636.8,ENSG00000169239,truncated_no_ejc,951,186,0,4,1.12
ENSG00000169239.15.novel22,ENST00000318636.8,ENSG00000169239,no_downstream_ejc,951,951,0,4,2.752
ENSG00000169239.15.novel9,ENST00000318636.8,ENSG00000169239,truncated_no_ejc,951,186,0,4,3.583
ENSG00000170088.15.novel2,ENST00000306480.11,ENSG00000170088,truncated_no_ejc,813,678,0,1,1.187
ENSG00000170145.6.novel2,ENST00000304987.4,ENSG00000170145,truncated_no_ejc,2778,336,0,1,1.97
ENSG00000172780.18.novel1,ENST00000315150.10,ENSG00000172780,truncated_no_ejc,636,324,0,1,2.258
ENSG00000172932.17.novel2,ENST00000511455.7,ENSG00000172932,truncated_no_ejc,1815,363,0,4,1.271
ENSG00000173575.24.novel50,ENST00000420239.7,ENSG00000173575,truncated_no_ejc,1503,624,0,1,1.45
ENSG00000173926.7.novel30,ENST00000308660.6,ENSG00000173926,no_downstream_ejc,759,759,0,2,3.483
ENSG00000173933.22.novel5,ENST00000310092.12,ENSG00000173933,truncated_no_ejc,1092,429,0,4,4.621
ENSG00000173933.22.novel6,ENST00000310092.12,ENSG00000173933,truncated_no_ejc,1092,531,0,3,1.349
ENSG00000173933.22.novel8,ENST00000310092.12,ENSG00000173933,no_downstream_ejc,1092,1092,0,4,2.23
ENSG00000174021.13.novel3,ENST00000370641.3,ENSG00000174021,no_downstream_ejc,204,204,0,4,3.753
ENSG00000174227.17.novel6,ENST00000453061.7,ENSG00000174227,truncated_no_ejc,2949,1707,0,4,2.743
ENSG00000174428.20.novel1,ENST00000614064.4,ENSG00000174428,no_downstream_ejc,324,591,0,3,1.393
ENSG00000174428.20.novel6,ENST00000614064.4,ENSG00000174428,no_downstream_ejc,324,1077,0,3,1.314
ENSG00000174669.13.novel6,ENST00000357440.7,ENSG00000174669,no_downstream_ejc,1368,1368,0,3,2.313
ENSG00000174796.13.novel1,ENST00000311638.7,ENSG00000174796,truncated_no_ejc,666,516,0,3,0.882
ENSG00000174886.16.novel1,ENST00000308961.5,ENSG00000174886,truncated_no_ejc,423,381,0,2,1.282
ENSG00000175197.13.novel11,ENST00000346473.8,ENSG00000175197,no_downstream_ejc,507,507,0,4,1.781
ENSG00000176915.15.novel23,ENST00000357997.10,ENSG00000176915,truncated_no_ejc,2814,1383,0,4,0.659
ENSG00000177150.14.novel1,ENST00000592976.5,ENSG00000177150,no_downstream_ejc,,708,0,3,0.933
ENSG00000178381.14.novel1,ENST00000316495.8,ENSG00000178381,truncated_no_ejc,435,342,0,4,2.334
ENSG00000180190.13.novel3,ENST00000324079.11,ENSG00000180190,truncated_no_ejc,555,249,0,4,1.64
ENSG00000181450.18.novel1,ENST00000343776.10,ENSG00000181450,truncated_no_ejc,1575,228,0,3,1.663
ENSG00000182318.8.novel1,ENST00000329665.5,ENSG00000182318,truncated_no_ejc,1473,999,0,4,3.092
ENSG00000183607.11.novel1,ENST00000328895.9,ENSG00000183607,truncated_no_ejc,552,525,0,1,3.074
ENSG00000184254.19.novel11,ENST00000329841.10,ENSG00000184254,truncated_no_ejc,1536,117,0,1,0.829
ENSG00000184281.16.novel10,ENST00000333256.11,ENSG00000184281,no_downstream_ejc,987,987,0,4,4.545
ENSG00000188015.11.novel2,ENST00000368713.8,ENSG00000188015,no_downstream_ejc,303,303,0,1,4.852
ENSG00000188015.11.novel3,ENST00000368713.8,ENSG00000188015,no_downstream_ejc,303,303,0,1,3.979
ENSG00000189171.17.novel4,ENST00000476133.6,ENSG00000189171,no_downstream_ejc,294,294,0,4,2.258
ENSG00000196275.17.novel1,ENST00000614386.1,ENSG00000196275,no_downstream_ejc,324,591,0,3,1.734
ENSG00000196275.17.novel2,ENST00000614386.1,ENSG00000196275,no_downstream_ejc,324,768,0,3,0.657
ENSG00000196363.11.novel1,ENST00000358625.4,ENSG00000196363,no_downstream_ejc,1002,1002,0,4,1.768
ENSG00000196465.12.novel2,ENST00000695999.1,ENSG00000196465,no_downstream_ejc,624,624,0,1,2.563
ENSG00000196510.15.novel2,ENST00000455511.9,ENSG00000196510,truncated_no_ejc,1695,549,0,4,1.745
ENSG00000197016.13.novel1,ENST00000330619.13,ENSG00000197016,truncated_no_ejc,2151,372,0,3,1.722
ENSG00000197641.12.novel6,ENST00000344731.10,ENSG00000197641,truncated_no_ejc,1173,231,0,1,2.151
ENSG00000197857.17.novel1,ENST00000355684.6,ENSG00000197857,truncated_no_ejc,1845,192,0,4,1.56
ENSG00000197857.17.novel2,ENST00000355684.6,ENSG00000197857,truncated_no_ejc,1845,336,0,4,2.655
ENSG00000197928.12.novel1,ENST00000601828.5,ENSG00000197928,no_downstream_ejc,204,261,0,3,1.383
ENSG00000197943.14.novel1,ENST00000564138.6,ENSG00000197943,truncated_no_ejc,3795,693,0,1,3.717
ENSG00000204130.15.novel48,ENST00000602465.6,ENSG00000204130,truncated_no_ejc,1818,1248,0,1,0.962
ENSG00000204568.13.novel1,ENST00000259873.5,ENSG00000204568,truncated_no_ejc,774,363,0,4,2.241
ENSG00000206072.13.novel1,ENST00000544088.6,ENSG00000206072,no_downstream_ejc,1176,1176,0,1,2.016
ENSG00000213380.16.novel27,ENST00000306875.10,ENSG00000213380,no_downstream_ejc,1836,1836,0,4,2.248
ENSG00000213793.7.novel7,ENST00000965350.1,ENSG00000213793,no_downstream_ejc,2154,2154,0,2,2.588
ENSG00000214078.14.novel15,ENST00000397443.7,ENSG00000214078,no_downstream_ejc,1611,1611,0,4,4.533
ENSG00000225950.10.novel2,ENST00000594938.2,ENSG00000225950,no_downstream_ejc,630,630,0,1,1.345
ENSG00000234465.11.novel14,ENST00000612042.4,ENSG00000234465,no_downstream_ejc,684,684,0,1,2.46
ENSG00000237651.8.novel2,ENST00000426997.5,ENSG00000237651,no_downstream_ejc,345,345,0,4,1.548
ENSG00000237651.8.novel3,ENST00000426997.5,ENSG00000237651,no_downstream_ejc,345,345,0,1,0.916
ENSG00000239306.6.novel6,ENST00000310137.5,ENSG00000239306,truncated_no_ejc,2007,1854,0,1,1.502
ENSG00000239672.9.novel4,ENST00000393196.8,ENSG00000239672,no_downstream_ejc,456,456,0,4,0.557
ENSG00000242028.9.novel2,ENST00000442995.4,ENSG00000242028,no_downstream_ejc,363,363,0,1,2.613
ENSG00000242028.9.novel4,ENST00000442995.4,ENSG00000242028,no_downstream_ejc,363,363,0,2,3.275
ENSG00000242028.9.novel6,ENST00000442995.4,ENSG00000242028,no_downstream_ejc,363,363,0,4,3.453
ENSG00000244405.9.novel10,ENST00000306376.10,ENSG00000244405,truncated_no_ejc,1530,246,0,2,1.958
ENSG00000250571.8.novel1,ENST00000340042.2,ENSG00000250571,truncated_no_ejc,1128,168,0,4,2.535
ENSG00000254858.11.novel2,ENST00000599612.3,ENSG00000254858,no_downstream_ejc,618,627,0,1,1.496
ENSG00000265681.9.novel3,ENST00000580261.6,ENSG00000265681,no_downstream_ejc,552,552,0,4,3.961
ENSG00000269335.8.novel63,ENST00000594239.6,ENSG00000269335,truncated_no_ejc,1257,1119,0,4,3.109
ENSG00000277149.6.novel5,ENST00000620995.5,ENSG00000277149,truncated_no_ejc,2004,891,0,3,1.413
ENSG00000277791.6.novel3,ENST00000619426.5,ENSG00000277791,truncated_no_ejc,615,579,0,4,3.317
ENSG00000284194.4.novel3,ENST00000395693.8,ENSG00000284194,no_downstream_ejc,798,798,0,1,1.368
ENST00000251546.8,ENST00000376762.8,ENSG00000132879,no_downstream_ejc,672,672,0,1,1.659
ENST00000264005.10,ENST00000570980.1,ENSG00000213398,no_downstream_ejc,,1104,0,4,3.317
ENST00000270617.8,ENST00000391821.6,ENSG00000142528,no_downstream_ejc,2613,2613,0,4,2.39
ENST00000280352.13,ENST00000393047.8,ENSG00000150776,truncated_no_ejc,879,876,0,1,0.76
ENST00000295694.9,ENST00000405535.3,ENSG00000163472,no_downstream_ejc,1182,1182,0,4,2.15
ENST00000298999.8,ENST00000903208.1,ENSG00000166024,no_downstream_ejc,2334,2334,0,4,1.02
ENST00000299871.9,ENST00000240731.5,ENSG00000121417,no_downstream_ejc,1731,1887,0,2,1.865
ENST00000300302.9,ENST00000439977.7,ENSG00000051108,truncated_no_ejc,1173,1170,0,1,2.918
