event_key	cell_type	event_type	gene_id	gene_symbol	n_form1_isos	n_form2_isos	form1_any_ptc	form2_any_ptc	form1_ptc_known	form2_ptc_known	ptc_differs	ptc_in_inclusion	ptc_in_skipping
MV:SE:19838	MV	SE	ENSG00000163660	CCNL1	6	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:21845	MV	SE	ENSG00000116906	GNPAT	1	3	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:23073	MV	SE	ENSG00000163541	SUCLG1	1	2	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:23168	MV	SE	ENSG00000134294	SLC38A2	3	2	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:23468	MV	SE	ENSG00000015676	NUDCD3	1	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:24602	MV	SE	ENSG00000119777	TMEM214	1	2	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:24681	MV	SE	ENSG00000172113	NME6	3	3	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:25062	MV	SE	ENSG00000070010	UFD1	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:25064	MV	SE	ENSG00000158864	NDUFS2	1	1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:26146	MV	SE	ENSG00000095059	DHPS	4	1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:26563	MV	SE	ENSG00000173726	TOMM20	1	1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:26992	MV	SE	ENSG00000183955	KMT5A	1	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:27485	MV	SE	ENSG00000168522	FNTA	4	1	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:27583	MV	SE	ENSG00000206562	METTL6	1	3	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:28007	MV	SE	ENSG00000163249	CCNYL1	6	3	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:28137	MV	SE	ENSG00000109184	DCUN1D4	1	6	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:28409	MV	SE	ENSG00000143842	SOX13	6	1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:28557	MV	SE	ENSG00000163444	TMEM183A	1	3	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:29614	MV	SE	ENSG00000171055	FEZ2	2	2	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:30373	MV	SE	ENSG00000137814	HAUS2	3	4	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:30861	MV	SE	ENSG00000180098	TRNAU1AP	1	2	FALSE	FALSE	FALSE	TRUE	NA	FALSE	FALSE
MV:SE:33163	MV	SE	ENSG00000004866	ST7	4	9	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:33295	MV	SE	ENSG00000171793	CTPS1	6	1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:33390	MV	SE	ENSG00000119004	CYP20A1	7	4	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:33800	MV	SE	ENSG00000160094	ZNF362	11	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:34222	MV	SE	ENSG00000134574	DDB2	4	3	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:34394	MV	SE	ENSG00000139684	ESD	1	3	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:34828	MV	SE	ENSG00000142910	TINAGL1	3	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:35146	MV	SE	ENSG00000136045	PWP1	2	1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:35178	MV	SE	ENSG00000150938	CRIM1	17	1	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:35602	MV	SE	ENSG00000168883	USP39	2	7	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:35627	MV	SE	ENSG00000140455	USP3	2	3	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:35991	MV	SE	ENSG00000155100	OTUD6B	8	17	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:37108	MV	SE	ENSG00000162604	TM2D1	1	4	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:37138	MV	SE	ENSG00000176915	ANKLE2	1	3	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:37270	MV	SE	ENSG00000116473	RAP1A	1	5	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:38114	MV	SE	ENSG00000135655	USP15	2	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:38528	MV	SE	ENSG00000085491	SLC25A24	1	8	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:38651	MV	SE	ENSG00000162642	C1orf52	1	1	FALSE	FALSE	FALSE	TRUE	NA	FALSE	FALSE
MV:SE:38804	MV	SE	ENSG00000147419	CCDC25	4	3	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:39528	MV	SE	ENSG00000162521	RBBP4	1	3	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:39681	MV	SE	ENSG00000151353	TMEM18	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:39682	MV	SE	ENSG00000151353	TMEM18	2	2	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:40479	MV	SE	ENSG00000122643	NT5C3A	1	1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:41097	MV	SE	ENSG00000135829	DHX9	1	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:41311	MV	SE	ENSG00000145439	CBR4	1	8	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:41401	MV	SE	ENSG00000143436	MRPL9	1	3	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:42702	MV	SE	ENSG00000013561	RNF14	3	3	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:42804	MV	SE	ENSG00000143742	SRP9	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:42953	MV	SE	ENSG00000145782	ATG12	1	2	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:43345	MV	SE	ENSG00000144559	TAMM41	1	7	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:43382	MV	SE	ENSG00000186522	SEPTIN10	4	1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:43449	MV	SE	ENSG00000156976	EIF4A2	5	3	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:43462	MV	SE	ENSG00000156976	EIF4A2	1	4	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:44532	MV	SE	ENSG00000132300	PTCD3	2	3	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:44660	MV	SE	ENSG00000169599	NFU1	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:44953	MV	SE	ENSG00000066056	TIE1	7	1	TRUE	FALSE	TRUE	FALSE	NA	TRUE	FALSE
MV:SE:46254	MV	SE	ENSG00000115661	STK16	5	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:47004	MV	SE	ENSG00000102317	RBM3	2	3	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:47083	MV	SE	ENSG00000121858	TNFSF10	2	1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:48184	MV	SE	ENSG00000074219	TEAD2	5	30	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:48465	MV	SE	ENSG00000164548	TRA2A	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:48509	MV	SE	ENSG00000143553	SNAPIN	1	1	FALSE	FALSE	TRUE	FALSE	NA	FALSE	FALSE
MV:SE:48668	MV	SE	ENSG00000117500	TMED5	1	3	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:50203	MV	SE	ENSG00000138050	THUMPD2	5	5	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:50454	MV	SE	ENSG00000005486	RHBDD2	1	1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:51196	MV	SE	ENSG00000166557	TMED3	1	1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:51809	MV	SE	ENSG00000097033	SH3GLB1	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:52312	MV	SE	ENSG00000148335	NTMT1	2	1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:52345	MV	SE	ENSG00000154845	PPP4R1	2	7	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:52438	MV	SE	ENSG00000143321	HDGF	1	5	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:52716	MV	SE	ENSG00000115307	AUP1	2	1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:53281	MV	SE	ENSG00000114956	DGUOK	1	4	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:53308	MV	SE	ENSG00000114956	DGUOK	3	1	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:53357	MV	SE	ENSG00000184939	ZFP90	3	3	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:54512	MV	SE	ENSG00000144118	RALB	2	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:54597	MV	SE	ENSG00000242372	EIF6	2	1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:55184	MV	SE	ENSG00000143889	HNRNPLL	3	3	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:55811	MV	SE	ENSG00000135124	P2RX4	5	3	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:55892	MV	SE	ENSG00000100038	TOP3B	4	9	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:56204	MV	SE	ENSG00000119912	IDE	1	6	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:56754	MV	SE	ENSG00000015153	YAF2	4	1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:56928	MV	SE	ENSG00000159202	UBE2Z	2	1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:56955	MV	SE	ENSG00000115966	ATF2	2	6	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:57020	MV	SE	ENSG00000104824	HNRNPL	1	2	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:57451	MV	SE	ENSG00000065548	ZC3H15	1	4	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:57515	MV	SE	ENSG00000064419	TNPO3	1	2	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:57612	MV	SE	ENSG00000173559	NABP1	3	4	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:57632	MV	SE	ENSG00000183696	UPP1	6	1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:57634	MV	SE	ENSG00000183696	UPP1	1	1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:57638	MV	SE	ENSG00000183696	UPP1	1	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:57640	MV	SE	ENSG00000183696	UPP1	3	1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:57729	MV	SE	ENSG00000115524	SF3B1	1	3	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:57986	MV	SE	ENSG00000240344	PPIL3	3	10	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:58444	MV	SE	ENSG00000197713	RPE	1	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:59169	MV	SE	ENSG00000181982	CCDC149	1	5	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:59918	MV	SE	ENSG00000125450	NUP85	1	4	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:60199	MV	SE	ENSG00000168970	JMJD7-PLA2G4B	1	5	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:60463	MV	SE	ENSG00000134109	EDEM1	7	3	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:60743	MV	SE	ENSG00000188313	PLSCR1	3	1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:60979	MV	SE	ENSG00000132589	FLOT2	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:61033	MV	SE	ENSG00000168404	MLKL	3	7	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:61637	MV	SE	ENSG00000126698	DNAJC8	2	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:61640	MV	SE	ENSG00000126698	DNAJC8	1	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:62368	MV	SE	ENSG00000115419	GLS	2	6	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:62369	MV	SE	ENSG00000115419	GLS	1	6	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:62714	MV	SE	ENSG00000185507	IRF7	2	3	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:64090	MV	SE	ENSG00000050748	MAPK9	4	11	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:64637	MV	SE	ENSG00000163607	GTPBP8	2	1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:65302	MV	SE	ENSG00000198075	SULT1C4	1	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:65304	MV	SE	ENSG00000198075	SULT1C4	2	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:65472	MV	SE	ENSG00000129515	SNX6	3	1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:66020	MV	SE	ENSG00000198467	TPM2	3	2	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:66192	MV	SE	ENSG00000106638	TBL2	1	4	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:66492	MV	SE	ENSG00000183684	ALYREF	3	6	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:67197	MV	SE	ENSG00000050426	LETMD1	1	4	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:67880	MV	SE	ENSG00000071994	PDCD2	4	2	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:67942	MV	SE	ENSG00000141127	PRPSAP2	6	2	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:68532	MV	SE	ENSG00000115234	SNX17	1	1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:68880	MV	SE	ENSG00000196262	PPIA	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:70026	MV	SE	ENSG00000284770	TBCE	6	4	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:70818	MV	SE	ENSG00000152465	NMT2	3	6	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:71040	MV	SE	ENSG00000123352	SPATS2	2	2	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:72048	MV	SE	ENSG00000096746	HNRNPH3	5	4	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:72133	MV	SE	ENSG00000060339	CCAR1	6	2	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:72624	MV	SE	ENSG00000165637	VDAC2	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:74041	MV	SE	ENSG00000186866	POFUT2	2	9	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:74956	MV	SE	ENSG00000185627	PSMD13	2	1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:75023	MV	SE	ENSG00000174775	HRAS	4	3	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:75694	MV	SE	ENSG00000166333	ILK	5	2	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:77781	MV	SE	ENSG00000167985	SDHAF2	1	1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:77807	MV	SE	ENSG00000109762	SNX25	1	1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:78036	MV	SE	ENSG00000084112	SSH1	5	3	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:78120	MV	SE	ENSG00000137996	RTCA	4	2	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:78807	MV	SE	ENSG00000067365	METTL22	3	6	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:78899	MV	SE	ENSG00000139624	CERS5	3	1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:79472	MV	SE	ENSG00000149196	HIKESHI	1	4	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:81447	MV	SE	ENSG00000139180	NDUFA9	1	2	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:81450	MV	SE	ENSG00000011243	AKAP8L	1	4	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:81508	MV	SE	ENSG00000111321	LTBR	1	2	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:81925	MV	SE	ENSG00000111196	MAGOHB	3	3	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:82035	MV	SE	ENSG00000150961	SEC24D	1	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:82321	MV	SE	ENSG00000139163	ETNK1	1	1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:82401	MV	SE	ENSG00000007392	LUC7L	4	3	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:82851	MV	SE	ENSG00000151239	TWF1	1	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
MV:SE:83043	MV	SE	ENSG00000139620	KANSL2	12	4	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:83317	MV	SE	ENSG00000139567	ACVRL1	11	2	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:83344	MV	SE	ENSG00000179526	SHARPIN	2	1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:83846	MV	SE	ENSG00000175203	DCTN2	1	2	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:84176	MV	SE	ENSG00000124193	SRSF6	3	6	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
MV:SE:84419	MV	SE	ENSG00000121749	TBC1D15	5	2	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:84422	MV	SE	ENSG00000121749	TBC1D15	2	6	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
MV:SE:84741	MV	SE	ENSG00000133641	RLIG1	3	2	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
MV:SE:85129	MV	SE	ENSG00000120860	WASHC3	1	4	FALSE	TRUE	FALSE	TRUE	NA	FALSE	TRUE
MV:SE:85850	MV	SE	ENSG00000022840	RNF10	7	1	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
