isoform_id	isoform_name	source	chromosome	strand	tss	tes	transcript_length	n_exons	exons	junctions	cds_start	cds_end	cds_length	protein_length	utr5_length	utr3_length	is_protein_coding	coding_source	expr_DMSO_ddali	total_reads_DMSO_ddali	expr_Smg1i_ddali	total_reads_Smg1i_ddali	expr_DMSO_dd	total_reads_DMSO_dd	expr_Smg1i_dd	total_reads_Smg1i_dd	expr_DMSO_doali	total_reads_DMSO_doali	expr_Smg1i_doali	total_reads_Smg1i_doali	expr_DMSO_at2	total_reads_DMSO_at2	expr_Smg1i_at2	total_reads_Smg1i_at2	expr_DMSO_fb	total_reads_DMSO_fb	expr_Smg1i_fb	total_reads_Smg1i_fb	expr_DMSO_mv	total_reads_DMSO_mv	expr_Smg1i_mv	total_reads_Smg1i_mv	total_reads_all_samples
ENST00000523122.1	MTCL1-213	GENCODE	18	+	8717759	8718592	834	2	8717759_8717962_+:exon;8718424_8718592_+:CDS	8717962_8718424_+	8718451	8718592	142	47	692	0	TRUE	GENCODE_biotype	0.48	19.758	3.8	213.617	6	365.17	4.5	328.21999999999997	0.88	37.467	0.24	10.821	2.2	63.762	1.5	55.370000000000005	37	1498.277	41	1973.566	37	1883.373	19	827.9839999999999	7277.385
ENST00000520495.5	MTCL1-208	GENCODE	18	+	8782088	8810002	27915	8	8782088_8782717_+:exon;8783530_8784843_+:CDS;8785690_8785726_+:CDS;8785936_8786091_+:CDS;8796232_8796462_+:CDS;8798097_8798291_+:exon;8806893_8807060_+:exon;8809448_8810002_+:exon	8782717_8783530_+;8784843_8785690_+;8785726_8785936_+;8786091_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8809448_+	8783587	8796308	1527	509	1499	13694	TRUE	GENCODE_CDS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ENST00000523811.2	MTCL1-214	GENCODE	18	+	8784541	8785860	1320	2	8784541_8784843_+:exon;8785690_8785860_+:exon	8784843_8785690_+	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ENST00000517554.1	MTCL1-203	GENCODE	18	+	8784658	8787303	2646	2	8784658_8784843_+:exon;8785936_8787303_+:exon	8784843_8785936_+	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ENST00000521018.1	MTCL1-210	GENCODE	18	+	8784674	8787344	2671	3	8784674_8784843_+:exon;8785936_8786091_+:exon;8787094_8787344_+:exon	8784843_8785936_+;8786091_8787094_+	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ENST00000518815.1	MTCL1-206	GENCODE	18	+	8789674	8832778	43105	10	8789674_8789722_+:exon;8796232_8796462_+:exon;8798097_8798291_+:exon;8806893_8807060_+:exon;8809448_8809561_+:exon;8812979_8813233_+:exon;8819047_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8789722_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8809448_+;8809561_8812979_+;8813233_8819047_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ENST00000522592.1	MTCL1-212	GENCODE	18	+	8800442	8813044	12603	3	8800442_8800777_+:exon;8806893_8807060_+:exon;8812979_8813044_+:exon	8800777_8806893_+;8807060_8812979_+	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ENST00000518226.1	MTCL1-205	GENCODE	18	+	8809818	8813157	3340	2	8809818_8810198_+:exon;8812979_8813157_+:exon	8810198_8812979_+	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ENST00000519823.2	MTCL1-207	GENCODE	18	+	8811131	8819245	8115	3	8811131_8811256_+:exon;8812979_8813233_+:exon;8819047_8819245_+:exon	8811256_8812979_+;8813233_8819047_+	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ENST00000520926.1	MTCL1-209	GENCODE	18	+	8812845	8819171	6327	2	8812845_8813233_+:exon;8818963_8819171_+:exon	8813233_8818963_+	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
ENST00000581670.1	MTCL1-215	GENCODE	18	+	8829923	8832778	2856	1	8829923_8832778_+:exon	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.1	PB.14156.1	SQANTI	18	+	8706663	8832778	5849	14	8706663_8706713_+:exon;8718424_8718648_+:exon;8720338_8720496_+:exon;8777833_8777892_+:exon;8783530_8784843_+:exon;8785936_8786091_+:exon;8796232_8796462_+:exon;8798097_8798291_+:exon;8806893_8807060_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8706713_8718424_+;8718648_8720338_+;8720496_8777833_+;8777892_8783530_+;8784843_8785936_+;8786091_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	4896	1632	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.2	PB.14156.2	SQANTI	18	+	8720347	8817859	3010	10	8720347_8720496_+:exon;8777833_8777892_+:exon;8783530_8784843_+:exon;8785936_8786091_+:exon;8796232_8796462_+:exon;8798097_8798291_+:exon;8806893_8807060_+:exon;8812979_8813233_+:exon;8817278_8817467_+:exon;8817569_8817859_+:exon	8720496_8777833_+;8777892_8783530_+;8784843_8785936_+;8786091_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8817278_+;8817467_8817569_+	NA	NA	2526	842	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.3	PB.14156.3	SQANTI	18	+	8720425	8832776	5484	12	8720425_8720496_+:exon;8777833_8777892_+:exon;8783530_8784843_+:exon;8785936_8786091_+:exon;8796232_8796462_+:exon;8798097_8798291_+:exon;8806893_8807060_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832776_+:exon	8720496_8777833_+;8777892_8783530_+;8784843_8785936_+;8786091_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	4536	1512	NA	NA	TRUE	SQANTI	0.5	20.173000000000002	0.44	23.399	0.4	23.668999999999997	0.42	30.852999999999998	0.34	14.337	0.57	25.581	0.37	12.154	0.2	7.7059999999999995	0.049	1.036	0.16	7.18	0.24	11.611	0.14	6.326	184.02499999999998
PB.14156.6	PB.14156.6	SQANTI	18	+	8777893	8781205	3313	1	8777893_8781205_+:exon	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.7	PB.14156.7	SQANTI	18	+	8779103	8781205	2103	1	8779103_8781205_+:exon	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.10	PB.14156.10	SQANTI	18	+	8783629	8832778	5255	10	8783629_8784843_+:exon;8785936_8786091_+:exon;8796232_8796462_+:exon;8798097_8798291_+:exon;8806893_8807060_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8784843_8785936_+;8786091_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	4119	1373	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.11	PB.14156.11	SQANTI	18	+	8783998	8832778	4886	10	8783998_8784843_+:exon;8785936_8786091_+:exon;8796232_8796462_+:exon;8798097_8798291_+:exon;8806893_8807060_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8784843_8785936_+;8786091_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	3573	1191	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.12	PB.14156.12	SQANTI	18	+	8784129	8832777	4754	10	8784129_8784843_+:exon;8785936_8786091_+:exon;8796232_8796462_+:exon;8798097_8798291_+:exon;8806893_8807060_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832777_+:exon	8784843_8785936_+;8786091_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	3573	1191	NA	NA	TRUE	SQANTI	0.17	6.966	0.096	5.374	0.2	11.657	0	0	0.23	10.065	0.23	10.57	0.032	1.166	0.12	4.433	0.059	2.347	0.048	2.432	0.056	3.393	0.043	2.114	60.516999999999996
PB.14156.13	PB.14156.13	SQANTI	18	+	8784450	8808023	2107	5	8784450_8784843_+:exon;8785936_8786091_+:exon;8796232_8796462_+:exon;8798097_8798291_+:exon;8806893_8808023_+:exon	8784843_8785936_+;8786091_8796232_+;8796462_8798097_+;8798291_8806893_+	NA	NA	1101	367	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.14	PB.14156.14	SQANTI	18	+	8786066	8832778	3910	9	8786066_8786091_+:exon;8796232_8796462_+:exon;8798097_8798291_+:exon;8806893_8807060_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8786091_8796232_+;8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	2946	982	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.15	PB.14156.15	SQANTI	18	+	8795896	8802301	4454	3	8795896_8795913_+:exon;8796232_8796462_+:exon;8798097_8802301_+:exon	8795913_8796232_+;8796462_8798097_+	NA	NA	528	176	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.16	PB.14156.16	SQANTI	18	+	8796109	8832778	3812	7	8796109_8796462_+:exon;8806893_8807060_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8796462_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	2751	917	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.17	PB.14156.17	SQANTI	18	+	8796148	8832778	4120	9	8796148_8796462_+:exon;8798097_8798291_+:exon;8806893_8807060_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8822476_8822627_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8822476_+;8822627_8824699_+;8826232_8831607_+	NA	NA	1749	583	NA	NA	TRUE	SQANTI	0.15	6.006	0.5	28.681	0.47	27.311	0.38	27.615000000000002	0.2	8.552	0.22	9.984	0.28	8.686	0.12	4.459	0.69	26.142999999999997	0.27	13.689	0.33	15.023	0.33	15.822000000000001	191.97099999999998
PB.14156.18	PB.14156.18	SQANTI	18	+	8796240	8832775	3873	8	8796240_8796462_+:exon;8798097_8798291_+:exon;8806893_8807060_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832775_+:exon	8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	2901	967	NA	NA	TRUE	SQANTI	0.19	8.033	0.16	9.174	0.21	11.797	0.16	11.430000000000001	0.25	10.761	0.28	12.777999999999999	0.28	9.157	0.19	7.224	0.1	3.207	0.17	8.308	0.023	1.425	0.066	3.181	96.475
PB.14156.19	PB.14156.19	SQANTI	18	+	8796363	8832778	3753	8	8796363_8796462_+:exon;8798097_8798291_+:exon;8806893_8807060_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	2745	915	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.20	PB.14156.20	SQANTI	18	+	8796416	8832776	3698	8	8796416_8796462_+:exon;8798097_8798291_+:exon;8806893_8807060_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832776_+:exon	8796462_8798097_+;8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	2745	915	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.21	PB.14156.21	SQANTI	18	+	8796416	8832778	3833	9	8796416_8796462_+:exon;8798097_8798291_+:exon;8806893_8807060_+:exon;8811124_8811256_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8796462_8798097_+;8798291_8806893_+;8807060_8811124_+;8811256_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	2784	928	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.22	PB.14156.22	SQANTI	18	+	8798111	8832778	3639	7	8798111_8798291_+:exon;8806893_8807060_+:exon;8812979_8813233_+:exon;8818963_8819259_+:exon;8821467_8821498_+:exon;8824699_8826232_+:exon;8831607_8832778_+:exon	8798291_8806893_+;8807060_8812979_+;8813233_8818963_+;8819259_8821467_+;8821498_8824699_+;8826232_8831607_+	NA	NA	2232	744	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PB.14156.23	PB.14156.23	SQANTI	18	+	8798145	8808023	1278	2	8798145_8798291_+:exon;8806893_8808023_+:exon	8798291_8806893_+	NA	NA	489	163	NA	NA	TRUE	SQANTI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
