comparator_isoform_id	gene_id	reference_isoform_id	subclass	stop_tx_pos_used	in_last_exon	distance_to_start_nt	exon_length_at_stop_nt	within_50nt_of_last_ej	mashr_posterior_mean_logfc	chr	h5_split	our_model_prob
ENSG00000008294.23.novel3	ENSG00000008294.23	ENST00000357122.8	NMD+/PTC+	687	FALSE	687	81	FALSE	3.63108943102462	chr17	train	0.996774
ENSG00000008952.18.novel1	ENSG00000008952.18	ENST00000480708.5	NMD+/PTC+	604	FALSE	604	113	FALSE	4.10461589223638	chr3	test	0.90093106
ENSG00000008952.18.novel26	ENSG00000008952.18	ENST00000480708.5	Control	609	TRUE	609	3917	TRUE	-0.0169096460336235	chr3	test	0.03345194
ENSG00000010030.14.novel2	ENSG00000010030.14	ENST00000339796.9	NMD+/PTC+	1071	FALSE	1071	188	FALSE	1.93547523988055	chr6	train	0.88470066
ENSG00000011105.15.novel1	ENSG00000011105.15	ENST00000011898.10	NMD+/PTC+	529	FALSE	529	102	FALSE	4.78400409295893	chr12	train	0.984183
ENSG00000011376.13.novel1	ENSG00000011376.13	ENST00000650792.2	Control	838	TRUE	838	1841	TRUE	-0.0508160684760256	chr3	test	0.18223295
ENSG00000011376.13.novel2	ENSG00000011376.13	ENST00000650792.2	NMD+/PTC+	2591	FALSE	2591	78	FALSE	2.76323404195542	chr3	test	0.9593569
ENSG00000011638.12.novel2	ENSG00000011638.12	ENST00000233047.9	NMD+/PTC+	697	FALSE	697	136	FALSE	2.30616046814443	chr16	train	0.8732554
ENSG00000012171.21.novel22	ENSG00000012171.21	ENST00000433753.4	NMD+/PTC+	1208	FALSE	1208	142	FALSE	2.68883561468381			
ENSG00000013441.18.novel26	ENSG00000013441.18	ENST00000321356.9	Control	3727	TRUE	3727	762	TRUE	0.0637530532649741	chr2	val	0.3322959
ENSG00000013561.19.novel1	ENSG00000013561.19	ENST00000394520.7	Control	1745	TRUE	1745	2565	TRUE	-0.00376910313576672	chr5	test	0.107775085
ENSG00000018510.19.novel1	ENSG00000018510.19	ENST00000679994.1	NMD+/PTC+	1195	FALSE	1195	128	FALSE	3.36069958755703	chr2	val	0.98574036
ENSG00000018510.19.novel53	ENSG00000018510.19	ENST00000679994.1	Control	1892	TRUE	1892	412	TRUE	-0.0773600966782363	chr2	val	0.24772382
ENSG00000018699.14.novel1	ENSG00000018699.14	ENST00000317907.9	NMD+/PTC+	2290	FALSE	2290	101	FALSE	2.47247822056169	chr2	val	0.67515266
ENSG00000019102.13.novel1	ENSG00000019102.13	ENST00000326621.10	NMD+/PTC+	892	FALSE	892	172	FALSE	3.9196743057443	chr11	train	0.92061675
ENSG00000019144.21.novel23	ENSG00000019144.21	ENST00000526537.2	NMD+/PTC+	1493	FALSE	1493	86	FALSE	1.86792591459342			
ENSG00000019144.21.novel3	ENSG00000019144.21	ENST00000526537.2	Control	2076	TRUE	2076	1356	TRUE	-0.0298649480858979	chr11	train	0.2877542
ENSG00000020129.17.novel2	ENSG00000020129.17	ENST00000356090.8	NMD+/PTC+	1945	FALSE	1945	225	FALSE	4.13665273537979	chr1	test	0.73507756
ENSG00000020426.12.novel2	ENSG00000020426.12	ENST00000261245.9	Control	965	TRUE	965	2129	TRUE	-0.0563599037988532	chr14	train	0.04830022
ENSG00000020426.12.novel6	ENSG00000020426.12	ENST00000261245.9	NMD+/PTC+	470	FALSE	470	104	FALSE	2.56291160568322	chr14	train	0.9808235
ENSG00000022840.17.novel36	ENSG00000022840.17	ENST00000325954.9	NMD+/PTC+	2582	FALSE	2582	159	FALSE	1.85074506046574	chr12	train	0.572576
ENSG00000023228.16.novel1	ENSG00000023228.16	ENST00000233190.11	NMD+/PTC+	1621	FALSE	1621	166	FALSE	4.80514194076547	chr2	val	0.9043311
ENSG00000023608.6.novel11	ENSG00000023608.6	ENST00000216294.5	NMD+/PTC+	580	FALSE	580	94	FALSE	3.38422950460423	chr14	train	0.98013717
ENSG00000023608.6.novel3	ENSG00000023608.6	ENST00000216294.5	Control	1256	TRUE	1256	2675	TRUE	-0.0629099039688586			
ENSG00000023697.14.novel1	ENSG00000023697.14	ENST00000428559.7	Control	1045	TRUE	1045	701	TRUE	0.0373402166657497	chr12	train	0.88999075
ENSG00000023697.14.novel2	ENSG00000023697.14	ENST00000428559.7	NMD+/PTC+	434	FALSE	434	96	FALSE	1.2662216104009	chr12	train	0.87621236
ENSG00000023909.11.novel3	ENSG00000023909.11	ENST00000370238.8	NMD+/PTC+	1005	FALSE	1005	115	FALSE	2.51811630611374	chr1	test	0.7321446
ENSG00000025708.15.novel1	ENSG00000025708.15	ENST00000252029.8	NMD+/PTC+	2054	FALSE	2054	447	FALSE	3.35843530315067	chr22	train	0.19476004
ENSG00000026652.16.novel1	ENSG00000026652.16	ENST00000320285.9	NMD+/PTC+	1050	FALSE	1050	69	FALSE	4.31113644256884	chr6	train	0.94010854
ENSG00000028203.20.novel3	ENSG00000028203.20	ENST00000436874.6	NMD+/PTC+	458	FALSE	458	73	FALSE	1.59818534629727	chr12	train	0.90043896
ENSG00000028310.19.novel1	ENSG00000028310.19	ENST00000869700.1	NMD+/PTC+	580	FALSE	580	180	FALSE	4.46607837041901	chr5	test	0.98023957
ENSG00000029725.18.novel1	ENSG00000029725.18	ENST00000537505.6	Control	801	TRUE	801	379	TRUE	0.0773824961471369	chr17	train	0.027455803
ENSG00000029725.18.novel5	ENSG00000029725.18	ENST00000537505.6	NMD+/PTC+	1324	FALSE	1324	132	FALSE	4.19626263147654	chr17	train	0.9868644
ENSG00000030066.15.novel2	ENSG00000030066.15	ENST00000378460.7	NMD+/PTC+	2083	FALSE	2083	181	FALSE	3.69013897361993	chr11	train	0.99547136
ENSG00000033178.14.novel4	ENSG00000033178.14	ENST00000322244.10	NMD+/PTC+	2384	FALSE	2384	35	FALSE	3.41448246001459	chr4	val	0.98680395
ENSG00000037241.8.novel8	ENSG00000037241.8	ENST00000521476.5	NMD+/PTC-	1793	TRUE	1793	367	TRUE	5.53916124603291	chr5	test	0.90685725
ENSG00000037474.16.novel2	ENSG00000037474.16	ENST00000264670.11	NMD+/PTC+	1190	FALSE	1190	152	FALSE	4.63576324998236	chr5	test	0.99510115
ENSG00000038210.15.novel1	ENSG00000038210.15	ENST00000264864.8	NMD+/PTC+	499	FALSE	499	201	FALSE	3.63793623773945	chr4	val	0.9854101
ENSG00000038532.18.novel2	ENSG00000038532.18	ENST00000409552.4	Control	2963	TRUE	2963	1685	TRUE	-0.00760499281082254	chr16	train	0.051277682
ENSG00000038532.18.novel4	ENSG00000038532.18	ENST00000409552.4	NMD+/PTC-	3035	TRUE	3035	6218	TRUE	1.40188704345038			
ENSG00000042088.15.novel2	ENSG00000042088.15	ENST00000393454.6	Control	2681	TRUE	2681	1710	TRUE	-0.0424341547471636	chr14	train	0.067263864
ENSG00000042088.15.novel5	ENSG00000042088.15	ENST00000393454.6	NMD+/PTC+	863	FALSE	863	93	FALSE	3.97268386075302	chr14	train	0.9909306
ENSG00000042980.15.novel4	ENSG00000042980.15	ENST00000265769.9	NMD+/PTC+	2067	FALSE	2067	193	FALSE	2.74298425693201	chr8	train	0.973784
ENSG00000047249.19.novel1	ENSG00000047249.19	ENST00000355221.7	NMD+/PTC+	905	FALSE	905	117	FALSE	5.27039365635114	chr8	train	0.96933854
ENSG00000047621.13.novel1	ENSG00000047621.13	ENST00000908046.1	NMD+/PTC+	1119	FALSE	1119	75	FALSE	4.45606988110454	chr12	train	0.9479431
ENSG00000047621.13.novel7	ENSG00000047621.13	ENST00000908046.1	Control	645	TRUE	645	2235	TRUE	-0.0377147281838422	chr12	train	0.14928274
ENSG00000048140.19.novel2	ENSG00000048140.19	ENST00000508164.6	NMD+/PTC-	1010	TRUE	1010	1941	TRUE	1.15289144942606			
ENSG00000048162.23.novel1	ENSG00000048162.23	ENST00000614830.5	NMD+/PTC+	1609	FALSE	1609	90	FALSE	4.27798118780065	chr5	test	0.73926103
ENSG00000049167.17.novel2	ENSG00000049167.17	ENST00000676185.1	NMD+/PTC+	827	FALSE	827	102	FALSE	2.08277965987542	chr5	test	0.83558613
ENSG00000050393.13.novel1	ENSG00000050393.13	ENST00000379170.9	NMD+/PTC+	708	FALSE	708	102	FALSE	0.68341769640421	chr6	train	0.97399884
ENSG00000050393.13.novel9	ENSG00000050393.13	ENST00000379170.9	Control	1195	TRUE	1195	2156	TRUE	-0.0337636181391904	chr6	train	0.078761026
ENSG00000051009.12.novel1	ENSG00000051009.12	ENST00000449352.7	NMD+/PTC+	2833	FALSE	2833	163	FALSE	1.32527254454597			
ENSG00000053372.6.novel1	ENSG00000053372.6	ENST00000330263.5	Control	1021	FALSE	1021	297	FALSE	-0.0744739717244362	chr1	test	0.25220397
ENSG00000053372.6.novel2	ENSG00000053372.6	ENST00000330263.5	NMD+/PTC+	486	FALSE	486	82	FALSE	3.05742959047624	chr1	test	0.37239996
ENSG00000053770.13.novel1	ENSG00000053770.13	ENST00000261558.8	NMD+/PTC+	1131	FALSE	1131	228	FALSE	2.94733351599201	chr14	train	0.94575673
ENSG00000053770.13.novel5	ENSG00000053770.13	ENST00000261558.8	Control	1750	TRUE	1750	3377	TRUE	-0.000655974031177097	chr14	train	0.14929186
ENSG00000054148.19.novel2	ENSG00000054148.19	ENST00000247665.12	Control	1881	TRUE	1881	1031	TRUE	-0.0104136471877868	chr9	train	0.52573824
ENSG00000054277.14.novel3	ENSG00000054277.14	ENST00000490673.5	NMD+/PTC+	955	FALSE	955	274	FALSE	1.11375365258414	chr1	test	0.5918565
ENSG00000054611.15.novel1	ENSG00000054611.15	ENST00000406733.1	Control	1302	TRUE	1302	369	TRUE	-0.0340679302818874	chr22	train	0.039778747
ENSG00000054611.15.novel4	ENSG00000054611.15	ENST00000406733.1	NMD+/PTC+	1364	FALSE	1364	96	FALSE	3.02113635419213	chr22	train	0.8157067
ENSG00000057019.17.novel21	ENSG00000057019.17	ENST00000326840.11	Control	1603	TRUE	1603	3086	TRUE	-0.0326800482142388	chr3	test	0.03456683
ENSG00000057019.17.novel3	ENSG00000057019.17	ENST00000326840.11	NMD+/PTC+	1763	FALSE	1763	74	FALSE	5.14666953505586	chr3	test	0.9923644
ENSG00000058063.18.novel1	ENSG00000058063.18	ENST00000323116.10	Control	3822	TRUE	3822	5195	TRUE	0.0314404505860166	chr3	test	0.05465919
ENSG00000058063.18.novel2	ENSG00000058063.18	ENST00000323116.10	NMD+/PTC+	2832	FALSE	2832	146	FALSE	2.26120110053923	chr3	test	0.9856564
ENSG00000058085.16.novel1	ENSG00000058085.16	ENST00000264144.5	NMD+/PTC+	1065	FALSE	1065	167	FALSE	7.27345736746795	chr1	test	0.80245715
ENSG00000058085.16.novel45	ENSG00000058085.16	ENST00000264144.5	Control	3464	TRUE	3464	416	TRUE	0.111871315024958	chr1	test	0.17725408
ENSG00000058804.13.novel1	ENSG00000058804.13	ENST00000371429.4	Control	2283	TRUE	2283	2574	TRUE	-0.0797713989581206	chr1	test	0.15257384
ENSG00000058804.13.novel4	ENSG00000058804.13	ENST00000371429.4	NMD+/PTC+	1623	FALSE	1623	101	FALSE	1.72856092382175	chr1	test	0.90994686
ENSG00000059758.9.novel5	ENSG00000059758.9	ENST00000261211.8	NMD+/PTC+	1283	FALSE	1283	95	FALSE	4.2215371234267	chr12	train	0.9822389
ENSG00000059758.9.novel7	ENSG00000059758.9	ENST00000261211.8	Control	1316	TRUE	1316	972	TRUE	0.0479964745092672	chr12	train	0.045814425
ENSG00000059769.21.novel8	ENSG00000059769.21	ENST00000313525.4	Control	1106	TRUE	1106	862	TRUE	-0.0206212929858168	chr9	train	0.029114617
ENSG00000060140.10.novel1	ENSG00000060140.10	ENST00000075503.8	Control	1678	TRUE	1678	3709	TRUE	0.0566379281363036	chr12	train	0.09013467
ENSG00000060140.10.novel5	ENSG00000060140.10	ENST00000075503.8	NMD+/PTC+	826	FALSE	826	111	FALSE	1.61594353872508	chr12	train	0.8253374
ENSG00000060558.4.novel1	ENSG00000060558.4	ENST00000262958.4	Control	1435	TRUE	1435	705	TRUE	0.0396195966143956	chr19	train	0.10331739
ENSG00000060558.4.novel3	ENSG00000060558.4	ENST00000262958.4	NMD+/PTC+	902	FALSE	902	155	FALSE	3.47698806140577	chr19	train	0.85536915
ENSG00000062598.19.novel1	ENSG00000062598.19	ENST00000290246.11	Control	2391	TRUE	2391	1527	TRUE	0.000439631958628934	chr20	train	0.09679224
ENSG00000062598.19.novel3	ENSG00000062598.19	ENST00000290246.11	NMD+/PTC+	407	FALSE	407	182	FALSE	2.95575523240309	chr20	train	0.942184
ENSG00000062822.17.novel1	ENSG00000062822.17	ENST00000599857.7	NMD+/PTC+	1973	FALSE	1973	114	FALSE	2.79105317964081	chr19	train	0.98960155
ENSG00000063660.10.novel2	ENSG00000063660.10	ENST00000264039.7	Control	2252	FALSE	2252	312	FALSE	-0.0363566490146593	chr2	val	0.1180288
ENSG00000063660.10.novel24	ENSG00000063660.10	ENST00000264039.7	NMD+/PTC+	1442	FALSE	1442	360	FALSE	3.69010949265953	chr2	val	0.9741019
ENSG00000064225.14.novel3	ENSG00000064225.14	ENST00000265261.11	NMD+/PTC+	799	FALSE	799	104	FALSE	4.35969463903833	chr3	test	0.98741865
ENSG00000064270.15.novel1	ENSG00000064270.15	ENST00000861762.1	Control	2351	TRUE	2351	1729	TRUE	-0.0605782581626289	chr16	train	0.04777051
ENSG00000064270.15.novel2	ENSG00000064270.15	ENST00000861762.1	NMD+/PTC+	3920	FALSE	3920	416	FALSE	2.66070258618208	chr16	train	0.48972654
ENSG00000064419.15.novel1	ENSG00000064419.15	ENST00000265388.10	Control	3327	FALSE	3327	92	TRUE	-0.0356890593015706	chr7	test	0.6115511
ENSG00000064607.18.novel1	ENSG00000064607.18	ENST00000452918.7	NMD+/PTC+	3664	FALSE	3664	121	FALSE	2.1890736396598	chr19	train	0.48537117
ENSG00000064607.18.novel9	ENSG00000064607.18	ENST00000452918.7	Control	3411	TRUE	3411	4393	TRUE	0.0274711265107719	chr19	train	0.034791138
ENSG00000064933.20.novel1	ENSG00000064933.20	ENST00000374826.8	NMD+/PTC+	2771	FALSE	2771	131	FALSE	3.16574667038488	chr2	val	0.8825676
ENSG00000064933.20.novel18	ENSG00000064933.20	ENST00000374826.8	Control	1159	TRUE	1159	672	TRUE	0.235432022038279	chr2	val	0.07710512
ENSG00000065457.12.novel1	ENSG00000065457.12	ENST00000564657.2	Control	2406	FALSE	2406	957	FALSE	-0.030769338817386	chr16	train	0.18780078
ENSG00000065457.12.novel4	ENSG00000065457.12	ENST00000564657.2	NMD+/PTC+	1174	FALSE	1174	131	FALSE	1.79288996243121	chr16	train	0.8556976
ENSG00000065600.14.novel3	ENSG00000065600.14	ENST00000261455.9	NMD+/PTC+	1027	FALSE	1027	108	FALSE	1.92403405598392	chr1	test	0.49064565
ENSG00000066557.7.novel1	ENSG00000066557.7	ENST00000370952.4	NMD+/PTC+	953	FALSE	953	143	FALSE	4.89826154325047	chr1	test	0.96875364
ENSG00000066557.7.novel3	ENSG00000066557.7	ENST00000370952.4	Control	1872	TRUE	1872	1473	TRUE	0.135738022365659	chr1	test	0.73774886
ENSG00000066629.20.novel2	ENSG00000066629.20	ENST00000262233.11	Control	777	TRUE	777	233	TRUE	-0.0477246769498729	chr14	train	0.13062719
ENSG00000066629.20.novel6	ENSG00000066629.20	ENST00000262233.11	NMD+/PTC+	2056	FALSE	2056	89	FALSE	3.46117712030104			
ENSG00000067221.15.novel3	ENSG00000067221.15	ENST00000316911.10	NMD+/PTC+	261	FALSE	261	131	FALSE	2.10325268736796	chr15	train	0.96919674
ENSG00000067596.13.novel2	ENSG00000067596.13	ENST00000589898.2	NMD+/PTC+	606	FALSE	606	379	FALSE	3.94814078266639	chr17	train	0.985466
ENSG00000068305.20.novel1	ENSG00000068305.20	ENST00000557785.5	Control	1740	TRUE	1740	2161	TRUE	-0.00878941212634401	chr15	train	0.060971264
ENSG00000068305.20.novel20	ENSG00000068305.20	ENST00000557785.5	NMD+/PTC+	1091	FALSE	1091	127	FALSE	3.00875784180701	chr15	train	0.85377187
ENSG00000068400.15.novel2	ENSG00000068400.15	ENST00000376423.8	NMD+/PTC+	2301	FALSE	2301	346	FALSE	2.91693116147697	chrX	train	0.89738697
ENSG00000068724.19.novel1	ENSG00000068724.19	ENST00000319190.11	Control	1259	TRUE	1259	2939	TRUE	0.0163539055457091	chr2	val	0.084733464
ENSG00000068724.19.novel4	ENSG00000068724.19	ENST00000319190.11	NMD+/PTC+	1315	FALSE	1315	131	FALSE	3.3337617303043	chr2	val	0.9921853
ENSG00000068885.16.novel13	ENSG00000068885.16	ENST00000496589.5	NMD+/PTC+	1772	FALSE	1772	90	FALSE	2.29324639549716	chr3	test	0.97569525
ENSG00000068885.16.novel7	ENSG00000068885.16	ENST00000496589.5	Control	2630	TRUE	2630	1651	TRUE	0.24873600126675	chr3	test	0.052872796
ENSG00000068971.15.novel3	ENSG00000068971.15	ENST00000164133.7	NMD+/PTC+	863	FALSE	863	102	FALSE	2.12146999396181	chr11	train	0.8424366
ENSG00000069122.20.novel1	ENSG00000069122.20	ENST00000283296.12	NMD+/PTC+	4247	FALSE	4247	79	FALSE	2.0134794006398	chr6	train	0.6869794
ENSG00000069122.20.novel2	ENSG00000069122.20	ENST00000283296.12	Control	4676	TRUE	4676	1567	TRUE	-0.00961362128432742	chr6	train	0.18498147
ENSG00000069998.13.novel1	ENSG00000069998.13	ENST00000336737.8	Control	2480	TRUE	2480	852	TRUE	-0.0510313009887502	chr22	train	0.11586531
ENSG00000069998.13.novel2	ENSG00000069998.13	ENST00000336737.8	NMD+/PTC+	1127	FALSE	1127	189	FALSE	1.73897422757543	chr22	train	0.92132837
ENSG00000070413.22.novel2	ENSG00000070413.22	ENST00000263196.12	NMD+/PTC+	1097	FALSE	1097	125	FALSE	4.29590215329113	chr22	train	0.9536162
ENSG00000070495.16.novel21	ENSG00000070495.16	ENST00000397625.9	Control	1662	FALSE	1662	1574	FALSE	-0.0126205249947809	chr17	train	0.49865407
ENSG00000070540.14.novel2	ENSG00000070540.14	ENST00000262139.10	NMD+/PTC+	814	FALSE	814	108	FALSE	4.80908792520987	chr17	train	0.99458694
ENSG00000070669.18.novel1	ENSG00000070669.18	ENST00000394308.8	NMD+/PTC+	1417	FALSE	1417	175	FALSE	4.54594780006974	chr7	test	0.95414066
ENSG00000071205.13.novel2	ENSG00000071205.13	ENST00000510379.1	NMD+/PTC+	1748	FALSE	1748	88	FALSE	4.3720373214238	chr4	val	0.9956825
ENSG00000071205.13.novel5	ENSG00000071205.13	ENST00000510379.1	Control	817	TRUE	817	3246	TRUE	0.0831462025474714	chr4	val	0.13714848
ENSG00000071242.14.novel1	ENSG00000071242.14	ENST00000265678.9	Control	1331	TRUE	1331	2163	TRUE	0.115177042571393	chr6	train	0.048995893
ENSG00000071242.14.novel9	ENSG00000071242.14	ENST00000265678.9	NMD+/PTC+	1262	FALSE	1262	65	FALSE	2.68249573807535	chr6	train	0.9775913
ENSG00000071539.15.novel2	ENSG00000071539.15	ENST00000166345.8	Control	1713	FALSE	1713	144	TRUE	0.164054236865984	chr5	test	0.32097888
ENSG00000071539.15.novel5	ENSG00000071539.15	ENST00000166345.8	NMD+/PTC+	1217	FALSE	1217	154	FALSE	3.12626553934534	chr5	test	0.98341525
ENSG00000072571.21.novel2	ENSG00000072571.21	ENST00000393915.9	NMD+/PTC+	622	FALSE	622	75	FALSE	3.0118751576112	chr5	test	0.9833734
ENSG00000072849.12.novel1	ENSG00000072849.12	ENST00000158771.9	NMD+/PTC+	1331	FALSE	1331	152	FALSE	3.72528988591009	chr17	train	0.7035289
ENSG00000072864.17.novel38	ENSG00000072864.17	ENST00000396354.6	Control	1213	TRUE	1213	4146	TRUE	-0.00289769628889905	chr16	train	0.4483992
ENSG00000072864.17.novel6	ENSG00000072864.17	ENST00000396354.6	NMD+/PTC+	465	FALSE	465	149	FALSE	3.14365453766134	chr16	train	0.9836428
ENSG00000072958.10.novel5	ENSG00000072958.10	ENST00000291439.8	NMD+/PTC+	695	FALSE	695	143	FALSE	4.39216943511854	chr19	train	0.9846662
ENSG00000073792.17.novel1	ENSG00000073792.17	ENST00000382199.7	NMD+/PTC+	483	FALSE	483	52	FALSE	2.27951860234466	chr3	test	0.9677845
ENSG00000074582.16.novel1	ENSG00000074582.16	ENST00000907075.1	NMD+/PTC-	3492	TRUE	3492	323	TRUE	1.24044911530403	chr2	val	0.49637422
ENSG00000074582.16.novel6	ENSG00000074582.16	ENST00000907075.1	Control	3151	TRUE	3151	318	TRUE	-0.00901092194844502	chr2	val	0.6039073
ENSG00000074935.15.novel1	ENSG00000074935.15	ENST00000368662.10	Control	880	TRUE	880	1456	TRUE	-0.0275934463508188	chr6	train	0.14881894
ENSG00000074935.15.novel2	ENSG00000074935.15	ENST00000368662.10	NMD+/PTC+	295	FALSE	295	116	FALSE	1.94775522643372			
ENSG00000075213.12.novel1	ENSG00000075213.12	ENST00000265362.9	Control	2776	TRUE	2776	4832	TRUE	0.0716214223195981	chr7	test	0.061266027
ENSG00000075213.12.novel2	ENSG00000075213.12	ENST00000265362.9	NMD+/PTC+	2899	FALSE	2899	65	FALSE	3.57437228513972	chr7	test	0.9151417
ENSG00000075539.16.novel15	ENSG00000075539.16	ENST00000503339.5	Control	1709	TRUE	1709	2113	TRUE	0.190158047526126	chr4	val	0.13458222
ENSG00000075539.16.novel19	ENSG00000075539.16	ENST00000503339.5	NMD+/PTC-	1676	TRUE	1676	2317	TRUE	1.57212733007603	chr4	val	0.18110241
ENSG00000076067.15.novel2	ENSG00000076067.15	ENST00000262031.10	Control	1407	TRUE	1407	6459	TRUE	-0.0494371677739892	chr12	train	0.0628669
ENSG00000076067.15.novel3	ENSG00000076067.15	ENST00000262031.10	NMD+/PTC+	824	FALSE	824	118	FALSE	2.59887933692954	chr12	train	0.9027774
ENSG00000076928.21.novel3	ENSG00000076928.21	ENST00000354532.8	NMD+/PTC+	2039	FALSE	2039	129	FALSE	2.99103079377478	chr19	train	0.995789
ENSG00000077238.15.novel2	ENSG00000077238.15	ENST00000395762.7	NMD+/PTC-	1584	TRUE	1584	2559	TRUE	2.86549209202336	chr16	train	0.5225218
ENSG00000077454.18.novel3	ENSG00000077454.18	ENST00000310300.11	NMD+/PTC+	1233	FALSE	1233	85	FALSE	2.93106945883397	chr7	test	0.99602133
ENSG00000077463.16.novel2	ENSG00000077463.16	ENST00000600938.5	Control	818	TRUE	818	1048	TRUE	-0.0675795832182845			
ENSG00000077514.10.novel4	ENSG00000077514.10	ENST00000532784.5	NMD+/PTC+	1035	FALSE	1035	113	FALSE	3.01229610667306	chr11	train	0.90247697
ENSG00000077514.10.novel5	ENSG00000077514.10	ENST00000532784.5	Control	302	TRUE	302	2047	TRUE	-0.0825478228785207	chr11	train	0.0725922
ENSG00000077585.15.novel1	ENSG00000077585.15	ENST00000366592.8	Control	625	FALSE	625	150	FALSE	0.0955572709633121	chr1	test	0.9632555
ENSG00000077585.15.novel4	ENSG00000077585.15	ENST00000366592.8	NMD+/PTC+	1330	FALSE	1330	148	FALSE	3.2455150602204	chr1	test	0.26078776
ENSG00000077713.20.novel1	ENSG00000077713.20	ENST00000217909.8	Control	965	TRUE	965	2032	TRUE	0.00797226032957586	chrX	train	0.36547017
ENSG00000077713.20.novel3	ENSG00000077713.20	ENST00000217909.8	NMD+/PTC+	882	FALSE	882	173	FALSE	2.31458927534804	chrX	train	0.8860276
ENSG00000077942.20.novel1	ENSG00000077942.20	ENST00000262722.11	NMD+/PTC+	1222	FALSE	1222	82	FALSE	3.4621183583364	chr22	train	0.98943067
ENSG00000078070.15.novel1	ENSG00000078070.15	ENST00000265594.9	NMD+/PTC+	298	FALSE	298	96	FALSE	3.74885933896271	chr3	test	0.9387607
ENSG00000078070.15.novel4	ENSG00000078070.15	ENST00000265594.9	Control	523	TRUE	523	2016	TRUE	0.0329739479130123	chr3	test	0.5288695
ENSG00000078142.15.novel1	ENSG00000078142.15	ENST00000262039.9	NMD+/PTC+	2402	FALSE	2402	91	FALSE	4.23547869675862	chr18	train	0.97658545
ENSG00000078142.15.novel3	ENSG00000078142.15	ENST00000262039.9	Control	915	TRUE	915	4423	TRUE	0.111508410464887	chr18	train	0.05476188
ENSG00000078618.24.novel42	ENSG00000078618.24	ENST00000354831.11	NMD+/PTC+	1019	FALSE	1019	70	FALSE	3.8763955399228	chr1	test	0.9872602
ENSG00000078747.18.novel7	ENSG00000078747.18	ENST00000374864.10	NMD+/PTC+	1837	FALSE	1837	135	FALSE	3.13272525862498	chr20	train	0.98297775
ENSG00000079385.24.novel1	ENSG00000079385.24	ENST00000403444.7	NMD+/PTC+	1287	FALSE	1287	154	FALSE	3.77731025641767	chr19	train	0.9101251
ENSG00000079974.20.novel5	ENSG00000079974.20	ENST00000395595.8	NMD+/PTC+	547	FALSE	547	98	FALSE	3.68627695830569	chr22	train	0.97463304
