comparator_isoform_id	nmdep_rule_score	nmdep_rule_leaf	nmdep_rule_call
ENSG00000047621.13.novel1	0.65	trigger_nmd	trigger
ENSG00000047621.13.novel7	0	last_exon	escape
ENSG00000048140.19.novel2	0	last_exon	escape
ENSG00000048162.23.novel1	0.65	trigger_nmd	trigger
ENSG00000049167.17.novel2	0.65	trigger_nmd	trigger
ENSG00000050393.13.novel1	0.65	trigger_nmd	trigger
ENSG00000050393.13.novel9	0	last_exon	escape
ENSG00000051009.12.novel1	0.65	trigger_nmd	trigger
ENSG00000053372.6.novel1	0.65	trigger_nmd	trigger
ENSG00000053372.6.novel2	0.65	trigger_nmd	trigger
ENSG00000053770.13.novel1	0.65	trigger_nmd	trigger
ENSG00000053770.13.novel5	0	last_exon	escape
ENSG00000054148.19.novel2	0	last_exon	escape
ENSG00000054277.14.novel3	0.65	trigger_nmd	trigger
ENSG00000054611.15.novel1	0	last_exon	escape
ENSG00000054611.15.novel4	0.65	trigger_nmd	trigger
ENSG00000057019.17.novel21	0	last_exon	escape
ENSG00000057019.17.novel3	0.65	trigger_nmd	trigger
ENSG00000058063.18.novel1	0	last_exon	escape
ENSG00000058063.18.novel2	0.65	trigger_nmd	trigger
ENSG00000058085.16.novel1	0.65	trigger_nmd	trigger
ENSG00000058085.16.novel45	0	last_exon	escape
ENSG00000058804.13.novel1	0	last_exon	escape
ENSG00000058804.13.novel4	0.65	trigger_nmd	trigger
ENSG00000059758.9.novel5	0.65	trigger_nmd	trigger
ENSG00000059758.9.novel7	0	last_exon	escape
ENSG00000059769.21.novel8	0	last_exon	escape
ENSG00000060140.10.novel1	0	last_exon	escape
ENSG00000060140.10.novel5	0.65	trigger_nmd	trigger
ENSG00000060558.4.novel1	0	last_exon	escape
ENSG00000060558.4.novel3	0.65	trigger_nmd	trigger
ENSG00000062598.19.novel1	0	last_exon	escape
ENSG00000062598.19.novel3	0.65	trigger_nmd	trigger
ENSG00000062822.17.novel1	0.65	trigger_nmd	trigger
ENSG00000063660.10.novel2	0.65	trigger_nmd	trigger
ENSG00000063660.10.novel24	0.41	long_exon	escape
ENSG00000064225.14.novel3	0.65	trigger_nmd	trigger
ENSG00000064270.15.novel1	0	last_exon	escape
ENSG00000064270.15.novel2	0.41	long_exon	escape
ENSG00000064419.15.novel1	0.2	50nt_rule	escape
ENSG00000064607.18.novel1	0.65	trigger_nmd	trigger
ENSG00000064607.18.novel9	0	last_exon	escape
ENSG00000064933.20.novel1	0.65	trigger_nmd	trigger
ENSG00000064933.20.novel18	0	last_exon	escape
ENSG00000065457.12.novel1	0.41	long_exon	escape
ENSG00000065457.12.novel4	0.65	trigger_nmd	trigger
ENSG00000065600.14.novel3	0.65	trigger_nmd	trigger
ENSG00000066557.7.novel1	0.65	trigger_nmd	trigger
ENSG00000066557.7.novel3	0	last_exon	escape
ENSG00000066629.20.novel2	0	last_exon	escape
ENSG00000066629.20.novel6	0.65	trigger_nmd	trigger
ENSG00000067221.15.novel3	0.65	trigger_nmd	trigger
ENSG00000067596.13.novel2	0.41	long_exon	escape
ENSG00000068305.20.novel1	0	last_exon	escape
ENSG00000068305.20.novel20	0.65	trigger_nmd	trigger
ENSG00000068400.15.novel2	0.65	trigger_nmd	trigger
ENSG00000068724.19.novel1	0	last_exon	escape
ENSG00000068724.19.novel4	0.65	trigger_nmd	trigger
ENSG00000068885.16.novel13	0.65	trigger_nmd	trigger
ENSG00000068885.16.novel7	0	last_exon	escape
ENSG00000068971.15.novel3	0.65	trigger_nmd	trigger
ENSG00000069122.20.novel1	0.65	trigger_nmd	trigger
ENSG00000069122.20.novel2	0	last_exon	escape
ENSG00000069998.13.novel1	0	last_exon	escape
ENSG00000069998.13.novel2	0.65	trigger_nmd	trigger
ENSG00000070413.22.novel2	0.65	trigger_nmd	trigger
ENSG00000070495.16.novel21	0.41	long_exon	escape
ENSG00000070540.14.novel2	0.65	trigger_nmd	trigger
ENSG00000070669.18.novel1	0.65	trigger_nmd	trigger
ENSG00000071205.13.novel2	0.65	trigger_nmd	trigger
ENSG00000071205.13.novel5	0	last_exon	escape
ENSG00000071242.14.novel1	0	last_exon	escape
ENSG00000071242.14.novel9	0.65	trigger_nmd	trigger
ENSG00000071539.15.novel2	0.2	50nt_rule	escape
ENSG00000071539.15.novel5	0.65	trigger_nmd	trigger
ENSG00000072571.21.novel2	0.65	trigger_nmd	trigger
ENSG00000072849.12.novel1	0.65	trigger_nmd	trigger
ENSG00000072864.17.novel38	0	last_exon	escape
ENSG00000072864.17.novel6	0.65	trigger_nmd	trigger
ENSG00000072958.10.novel5	0.65	trigger_nmd	trigger
ENSG00000073792.17.novel1	0.65	trigger_nmd	trigger
ENSG00000074582.16.novel1	0	last_exon	escape
ENSG00000074582.16.novel6	0	last_exon	escape
ENSG00000074935.15.novel1	0	last_exon	escape
ENSG00000074935.15.novel2	0.65	trigger_nmd	trigger
ENSG00000075213.12.novel1	0	last_exon	escape
ENSG00000075213.12.novel2	0.65	trigger_nmd	trigger
ENSG00000075539.16.novel15	0	last_exon	escape
ENSG00000075539.16.novel19	0	last_exon	escape
ENSG00000076067.15.novel2	0	last_exon	escape
ENSG00000076067.15.novel3	0.65	trigger_nmd	trigger
ENSG00000076928.21.novel3	0.65	trigger_nmd	trigger
ENSG00000077238.15.novel2	0	last_exon	escape
ENSG00000077454.18.novel3	0.65	trigger_nmd	trigger
ENSG00000077463.16.novel2	0	last_exon	escape
ENSG00000077514.10.novel4	0.65	trigger_nmd	trigger
ENSG00000077514.10.novel5	0	last_exon	escape
ENSG00000077585.15.novel1	0.65	trigger_nmd	trigger
ENSG00000077585.15.novel4	0.65	trigger_nmd	trigger
ENSG00000077713.20.novel1	0	last_exon	escape
ENSG00000077713.20.novel3	0.65	trigger_nmd	trigger
ENSG00000077942.20.novel1	0.65	trigger_nmd	trigger
ENSG00000078070.15.novel1	0.65	trigger_nmd	trigger
ENSG00000078070.15.novel4	0	last_exon	escape
ENSG00000078142.15.novel1	0.65	trigger_nmd	trigger
ENSG00000078142.15.novel3	0	last_exon	escape
ENSG00000078618.24.novel42	0.65	trigger_nmd	trigger
ENSG00000078747.18.novel7	0.65	trigger_nmd	trigger
ENSG00000079385.24.novel1	0.65	trigger_nmd	trigger
ENSG00000079974.20.novel5	0.65	trigger_nmd	trigger
ENSG00000080189.16.novel1	0.65	trigger_nmd	trigger
ENSG00000080608.11.novel10	0.65	trigger_nmd	trigger
ENSG00000080608.11.novel14	0	last_exon	escape
ENSG00000080823.24.novel23	0.65	trigger_nmd	trigger
ENSG00000080986.14.novel2	0	last_exon	escape
ENSG00000080986.14.novel3	0.65	trigger_nmd	trigger
ENSG00000081320.13.novel1	0.65	trigger_nmd	trigger
ENSG00000081692.14.novel3	0.41	long_exon	escape
ENSG00000081760.18.novel2	0	last_exon	escape
ENSG00000081760.18.novel3	0.65	trigger_nmd	trigger
ENSG00000081923.16.novel32	0	last_exon	escape
ENSG00000084073.11.novel1	0	last_exon	escape
ENSG00000085274.17.novel23	0	last_exon	escape
ENSG00000085274.17.novel25	0.41	long_exon	escape
ENSG00000085433.18.novel2	0.65	trigger_nmd	trigger
ENSG00000085721.14.novel1	0.65	trigger_nmd	trigger
ENSG00000086200.18.novel22	0	last_exon	escape
ENSG00000086696.12.novel1	0.65	trigger_nmd	trigger
ENSG00000086696.12.novel2	0	last_exon	escape
ENSG00000086827.10.novel1	0.65	trigger_nmd	trigger
ENSG00000086827.10.novel4	0	last_exon	escape
ENSG00000087008.17.novel10	0.41	long_exon	escape
ENSG00000087008.17.novel9	0	last_exon	escape
ENSG00000087076.10.novel1	0	last_exon	escape
ENSG00000087076.10.novel2	0.65	trigger_nmd	trigger
ENSG00000087128.10.novel1	0.65	trigger_nmd	trigger
ENSG00000087128.10.novel3	0	last_exon	escape
ENSG00000087206.18.novel1	0.65	trigger_nmd	trigger
ENSG00000087206.18.novel73	0	last_exon	escape
ENSG00000087269.17.novel11	0.65	trigger_nmd	trigger
ENSG00000087884.17.novel1	0	last_exon	escape
ENSG00000087995.17.novel2	0.41	long_exon	escape
ENSG00000088451.12.novel1	0.65	trigger_nmd	trigger
ENSG00000088451.12.novel3	0	last_exon	escape
ENSG00000088766.13.novel1	0	last_exon	escape
ENSG00000088766.13.novel11	0.65	trigger_nmd	trigger
ENSG00000088992.19.novel1	0	last_exon	escape
ENSG00000089060.13.novel9	0.65	trigger_nmd	trigger
ENSG00000089234.17.novel1	0.65	trigger_nmd	trigger
ENSG00000089234.17.novel4	0	last_exon	escape
ENSG00000089639.12.novel2	0.41	long_exon	escape
ENSG00000090054.17.novel2	0.65	trigger_nmd	trigger
ENSG00000090661.14.novel1	0	last_exon	escape
ENSG00000090661.14.novel4	0.65	trigger_nmd	trigger
ENSG00000090989.19.novel54	0	last_exon	escape
ENSG00000091127.15.novel1	0.65	trigger_nmd	trigger
ENSG00000091844.9.novel1	0	last_exon	escape
ENSG00000091844.9.novel2	0.65	trigger_nmd	trigger
ENSG00000092020.12.novel1	0	last_exon	escape
ENSG00000092020.12.novel2	0.65	trigger_nmd	trigger
ENSG00000092036.20.novel9	0.65	trigger_nmd	trigger
ENSG00000092108.23.novel2	0.65	trigger_nmd	trigger
ENSG00000092978.12.novel1	0.65	trigger_nmd	trigger
ENSG00000092978.12.novel49	0	last_exon	escape
ENSG00000093009.12.novel3	0.65	trigger_nmd	trigger
ENSG00000093010.16.novel1	0.65	trigger_nmd	trigger
ENSG00000093167.19.novel2	0.65	trigger_nmd	trigger
ENSG00000095066.13.novel1	0.65	trigger_nmd	trigger
ENSG00000095066.13.novel4	0	last_exon	escape
ENSG00000095303.18.novel1	0.65	trigger_nmd	trigger
ENSG00000095485.19.novel3	0.65	trigger_nmd	trigger
ENSG00000095485.19.novel6	0	last_exon	escape
ENSG00000096717.13.novel1	0	last_exon	escape
ENSG00000096717.13.novel3	0.65	trigger_nmd	trigger
ENSG00000096746.19.novel1	0	last_exon	escape
ENSG00000096746.19.novel2	0.65	trigger_nmd	trigger
ENSG00000096872.18.novel5	0.65	trigger_nmd	trigger
ENSG00000099260.13.novel1	0.65	trigger_nmd	trigger
ENSG00000099260.13.novel9	0	last_exon	escape
ENSG00000099282.11.novel1	0.65	trigger_nmd	trigger
ENSG00000099326.10.novel1	0.65	trigger_nmd	trigger
ENSG00000099849.16.novel1	0	last_exon	escape
ENSG00000099899.17.novel14	0.65	trigger_nmd	trigger
ENSG00000099917.18.novel1	0.65	trigger_nmd	trigger
ENSG00000099998.20.novel2	0.65	trigger_nmd	trigger
ENSG00000100003.18.novel10	0.65	trigger_nmd	trigger
ENSG00000100003.18.novel12	0.2	50nt_rule	escape
ENSG00000100083.21.novel4	0.65	trigger_nmd	trigger
ENSG00000100151.17.novel3	0.65	trigger_nmd	trigger
ENSG00000100258.19.novel3	0.65	trigger_nmd	trigger
ENSG00000100258.19.novel7	0	last_exon	escape
ENSG00000100271.18.novel2	0	last_exon	escape
ENSG00000100271.18.novel3	0.65	trigger_nmd	trigger
ENSG00000100284.23.novel1	0.65	trigger_nmd	trigger
ENSG00000100294.14.novel1	0.41	long_exon	escape
ENSG00000100294.14.novel3	0	last_exon	escape
ENSG00000100376.13.novel1	0	last_exon	escape
ENSG00000100376.13.novel2	0.65	trigger_nmd	trigger
ENSG00000100416.16.novel31	0	last_exon	escape
ENSG00000100417.13.novel1	0.65	trigger_nmd	trigger
ENSG00000100418.9.novel1	0	last_exon	escape
ENSG00000100418.9.novel3	0.65	trigger_nmd	trigger
ENSG00000100441.11.novel1	0	last_exon	escape
ENSG00000100441.11.novel3	0.65	trigger_nmd	trigger
ENSG00000100519.13.novel1	0.41	long_exon	escape
ENSG00000100519.13.novel69	0	last_exon	escape
ENSG00000100558.10.novel1	0.65	trigger_nmd	trigger
ENSG00000100558.10.novel4	0	last_exon	escape
ENSG00000100726.16.novel2	0.65	trigger_nmd	trigger
ENSG00000100897.19.novel11	0.65	trigger_nmd	trigger
ENSG00000100897.19.novel4	0	last_exon	escape
ENSG00000100918.15.novel7	0.65	trigger_nmd	trigger
ENSG00000100949.16.novel3	0.65	trigger_nmd	trigger
ENSG00000101150.19.novel1	0.65	trigger_nmd	trigger
ENSG00000101152.13.novel1	0	last_exon	escape
ENSG00000101166.17.novel59	0.65	trigger_nmd	trigger
ENSG00000101194.19.novel1	0.65	trigger_nmd	trigger
ENSG00000101194.19.novel2	0	last_exon	escape
ENSG00000101213.8.novel2	0	last_exon	escape
ENSG00000101452.16.novel1	0	last_exon	escape
ENSG00000101546.13.novel1	0.65	trigger_nmd	trigger
ENSG00000101546.13.novel30	0	last_exon	escape
ENSG00000101624.12.novel1	0.65	trigger_nmd	trigger
ENSG00000101624.12.novel2	0	last_exon	escape
ENSG00000101751.12.novel1	0	last_exon	escape
ENSG00000101751.12.novel5	0.65	trigger_nmd	trigger
ENSG00000101773.20.novel47	0.65	trigger_nmd	trigger
ENSG00000101773.20.novel58	0	last_exon	escape
ENSG00000102007.12.novel1	0.65	trigger_nmd	trigger
ENSG00000102007.12.novel2	0	last_exon	escape
ENSG00000102032.14.novel3	0.65	trigger_nmd	trigger
ENSG00000102032.14.novel7	0	last_exon	escape
ENSG00000102158.23.novel1	0.41	long_exon	escape
ENSG00000102158.23.novel4	0.65	trigger_nmd	trigger
ENSG00000102225.18.novel1	0	last_exon	escape
ENSG00000102312.25.novel1	0.65	trigger_nmd	trigger
ENSG00000102606.21.novel17	0.65	trigger_nmd	trigger
ENSG00000102606.21.novel2	0	last_exon	escape
ENSG00000102738.9.novel2	0	last_exon	escape
ENSG00000102738.9.novel24	0.65	trigger_nmd	trigger
ENSG00000102796.13.novel1	0	last_exon	escape
ENSG00000102796.13.novel80	0.65	trigger_nmd	trigger
ENSG00000103061.14.novel1	0.65	trigger_nmd	trigger
ENSG00000103061.14.novel4	0	last_exon	escape
ENSG00000103064.16.novel1	0.65	trigger_nmd	trigger
ENSG00000103067.15.novel1	0.65	trigger_nmd	trigger
ENSG00000103067.15.novel5	0	last_exon	escape
ENSG00000103202.14.novel1	0	last_exon	escape
ENSG00000103202.14.novel28	0	last_exon	escape
ENSG00000103245.15.novel2	0.65	trigger_nmd	trigger
ENSG00000103253.20.novel1	0.65	trigger_nmd	trigger
ENSG00000103253.20.novel3	0	last_exon	escape
ENSG00000103264.19.novel12	0.41	long_exon	escape
ENSG00000103429.12.novel1	0.65	trigger_nmd	trigger
ENSG00000103534.18.novel14	0.65	trigger_nmd	trigger
ENSG00000103549.23.novel1	0	last_exon	escape
ENSG00000103549.23.novel6	0.65	trigger_nmd	trigger
ENSG00000103642.12.novel7	0.65	trigger_nmd	trigger
ENSG00000103855.19.novel1	0	last_exon	escape
ENSG00000103855.19.novel2	0.65	trigger_nmd	trigger
ENSG00000103876.15.novel1	0	last_exon	escape
ENSG00000103876.15.novel3	0.65	trigger_nmd	trigger
ENSG00000104205.17.novel18	0.65	trigger_nmd	trigger
ENSG00000104320.16.novel1	0.65	trigger_nmd	trigger
ENSG00000104375.18.novel1	0	last_exon	escape
ENSG00000104375.18.novel9	0.65	trigger_nmd	trigger
ENSG00000104412.9.novel1	0.65	trigger_nmd	trigger
ENSG00000104497.16.novel1	0.65	trigger_nmd	trigger
ENSG00000104635.16.novel2	0.65	trigger_nmd	trigger
ENSG00000104714.15.novel1	0.65	trigger_nmd	trigger
ENSG00000104714.15.novel3	0	last_exon	escape
ENSG00000104756.17.novel1	0.65	trigger_nmd	trigger
ENSG00000104756.17.novel3	0	last_exon	escape
ENSG00000104783.16.novel1	0.65	trigger_nmd	trigger
ENSG00000104783.16.novel5	0	last_exon	escape
ENSG00000104856.15.novel2	0	last_exon	escape
ENSG00000104856.15.novel5	0.65	trigger_nmd	trigger
ENSG00000104960.15.novel3	0.65	trigger_nmd	trigger
ENSG00000105131.9.novel1	0.65	trigger_nmd	trigger
ENSG00000105131.9.novel2	0	last_exon	escape
ENSG00000105298.15.novel1	0.65	trigger_nmd	trigger
ENSG00000105321.15.novel26	0	last_exon	escape
ENSG00000105321.15.novel3	0.65	trigger_nmd	trigger
ENSG00000105341.19.novel1	0	last_exon	escape
ENSG00000105341.19.novel2	0.65	trigger_nmd	trigger
ENSG00000105372.9.novel4	0.41	long_exon	escape
ENSG00000105443.17.novel12	0	last_exon	escape
ENSG00000105443.17.novel9	0.65	trigger_nmd	trigger
ENSG00000105499.15.novel1	0	last_exon	escape
ENSG00000105499.15.novel3	0	last_exon	escape
ENSG00000105538.11.novel1	0	last_exon	escape
ENSG00000105538.11.novel31	0	last_exon	escape
ENSG00000105655.20.novel2	0.41	long_exon	escape
ENSG00000105656.14.novel1	0.65	trigger_nmd	trigger
ENSG00000105778.21.novel1	0.65	trigger_nmd	trigger
ENSG00000105778.21.novel7	0	last_exon	escape
ENSG00000105793.17.novel3	0.65	trigger_nmd	trigger
ENSG00000105852.12.novel1	0.65	trigger_nmd	trigger
ENSG00000105856.15.novel8	0.65	trigger_nmd	trigger
ENSG00000105865.12.novel3	0.65	trigger_nmd	trigger
ENSG00000105993.16.novel1	0.65	trigger_nmd	trigger
ENSG00000106052.15.novel1	0	last_exon	escape
ENSG00000106052.15.novel4	0.65	trigger_nmd	trigger
ENSG00000106258.17.novel1	0.65	trigger_nmd	trigger
ENSG00000106261.18.novel2	0.65	trigger_nmd	trigger
ENSG00000106526.13.novel1	0.65	trigger_nmd	trigger
ENSG00000106526.13.novel8	0.2	50nt_rule	escape
ENSG00000106771.14.novel4	0.65	trigger_nmd	trigger
ENSG00000107164.18.novel2	0.65	trigger_nmd	trigger
ENSG00000107521.22.novel3	0.65	trigger_nmd	trigger
ENSG00000107614.23.novel1	0	last_exon	escape
ENSG00000107651.16.novel2	0.2	50nt_rule	escape
ENSG00000107651.16.novel4	0.65	trigger_nmd	trigger
ENSG00000107669.20.novel1	0	last_exon	escape
ENSG00000107789.16.novel1	0	last_exon	escape
ENSG00000107789.16.novel3	0.65	trigger_nmd	trigger
ENSG00000108187.17.novel6	0.65	trigger_nmd	trigger
ENSG00000108349.19.novel1	0.65	trigger_nmd	trigger
ENSG00000108599.16.novel3	0.65	trigger_nmd	trigger
ENSG00000108599.16.novel4	0	last_exon	escape
ENSG00000108651.11.novel1	0.2	50nt_rule	escape
ENSG00000108651.11.novel2	0.65	trigger_nmd	trigger
ENSG00000108771.14.novel2	0.65	trigger_nmd	trigger
ENSG00000108784.11.novel4	0.65	trigger_nmd	trigger
ENSG00000108784.11.novel5	0	last_exon	escape
ENSG00000108854.17.novel1	0	last_exon	escape
ENSG00000108854.17.novel2	0.65	trigger_nmd	trigger
ENSG00000108950.13.novel1	0	last_exon	escape
ENSG00000108950.13.novel3	0.65	trigger_nmd	trigger
ENSG00000109680.12.novel1	0.65	trigger_nmd	trigger
ENSG00000109680.12.novel3	0	last_exon	escape
ENSG00000109736.16.novel1	0	last_exon	escape
ENSG00000109738.12.novel1	0	last_exon	escape
ENSG00000109738.12.novel5	0.65	trigger_nmd	trigger
ENSG00000109743.13.novel11	0.65	trigger_nmd	trigger
ENSG00000109743.13.novel9	0	last_exon	escape
ENSG00000109787.14.novel1	0.65	trigger_nmd	trigger
ENSG00000109805.11.novel1	0.65	trigger_nmd	trigger
ENSG00000109805.11.novel6	0	last_exon	escape
ENSG00000109814.13.novel1	0.65	trigger_nmd	trigger
ENSG00000109920.14.novel3	0	last_exon	escape
ENSG00000109920.14.novel7	0	last_exon	escape
ENSG00000110321.19.novel3	0.65	trigger_nmd	trigger
ENSG00000110328.7.novel1	0	last_exon	escape
ENSG00000110328.7.novel3	0.65	trigger_nmd	trigger
ENSG00000110697.15.novel1	0.41	long_exon	escape
ENSG00000110713.19.novel6	0.65	trigger_nmd	trigger
ENSG00000110719.11.novel5	0	last_exon	escape
ENSG00000110719.11.novel8	0.65	trigger_nmd	trigger
ENSG00000110721.13.novel1	0.65	trigger_nmd	trigger
ENSG00000110756.19.novel3	0.65	trigger_nmd	trigger
ENSG00000110851.13.novel3	0.65	trigger_nmd	trigger
ENSG00000110888.20.novel37	0.65	trigger_nmd	trigger
ENSG00000110888.20.novel52	0	last_exon	escape
ENSG00000110931.20.novel2	0.65	trigger_nmd	trigger
ENSG00000110931.20.novel3	0	last_exon	escape
ENSG00000111052.9.novel1	0.2	50nt_rule	escape
ENSG00000111224.15.novel7	0.41	long_exon	escape
ENSG00000111247.16.novel2	0.65	trigger_nmd	trigger
ENSG00000111321.12.novel1	0	last_exon	escape
ENSG00000111321.12.novel2	0.65	trigger_nmd	trigger
ENSG00000111325.17.novel1	0	last_exon	escape
ENSG00000111581.11.novel2	0.65	trigger_nmd	trigger
ENSG00000111906.19.novel4	0.65	trigger_nmd	trigger
ENSG00000112210.13.novel1	0.65	trigger_nmd	trigger
ENSG00000112237.14.novel2	0.65	trigger_nmd	trigger
ENSG00000112305.16.novel26	0	last_exon	escape
ENSG00000112305.16.novel47	0.65	trigger_nmd	trigger
ENSG00000112357.15.novel1	0.65	trigger_nmd	trigger
ENSG00000112367.13.novel2	0	last_exon	escape
ENSG00000112763.18.novel1	0	last_exon	escape
ENSG00000112855.18.novel1	0.65	trigger_nmd	trigger
ENSG00000112874.11.novel1	0	last_exon	escape
ENSG00000112874.11.novel2	0.65	trigger_nmd	trigger
ENSG00000112877.9.novel2	0.65	trigger_nmd	trigger
ENSG00000112877.9.novel4	0	last_exon	escape
ENSG00000112983.18.novel3	0	last_exon	escape
ENSG00000112983.18.novel7	0.65	trigger_nmd	trigger
ENSG00000113108.21.novel12	0.41	long_exon	escape
ENSG00000113108.21.novel48	0	last_exon	escape
ENSG00000113194.14.novel1	0.65	trigger_nmd	trigger
ENSG00000113194.14.novel3	0	last_exon	escape
ENSG00000113240.15.novel1	0.65	trigger_nmd	trigger
ENSG00000113319.14.novel1	0.65	trigger_nmd	trigger
ENSG00000113319.14.novel2	0	last_exon	escape
ENSG00000113369.9.novel2	0.65	trigger_nmd	trigger
ENSG00000113369.9.novel3	0	last_exon	escape
ENSG00000113597.19.novel10	0.65	trigger_nmd	trigger
ENSG00000113638.15.novel4	0	last_exon	escape
ENSG00000113649.15.novel38	0.65	trigger_nmd	trigger
ENSG00000113851.17.novel1	0.65	trigger_nmd	trigger
ENSG00000113851.17.novel2	0	last_exon	escape
ENSG00000113966.12.novel1	0.65	trigger_nmd	trigger
ENSG00000113966.12.novel3	0	last_exon	escape
ENSG00000114120.15.novel1	0.65	trigger_nmd	trigger
ENSG00000114120.15.novel3	0	last_exon	escape
ENSG00000114316.14.novel1	0	last_exon	escape
ENSG00000114316.14.novel2	0.65	trigger_nmd	trigger
ENSG00000114423.24.novel6	0.65	trigger_nmd	trigger
ENSG00000114626.19.novel1	0.41	long_exon	escape
ENSG00000114735.11.novel1	0.65	trigger_nmd	trigger
ENSG00000115109.15.novel3	0.65	trigger_nmd	trigger
ENSG00000115109.15.novel4	0	last_exon	escape
ENSG00000115282.22.novel1	0.65	trigger_nmd	trigger
ENSG00000115286.22.novel1	0.65	trigger_nmd	trigger
ENSG00000115289.15.novel1	0	last_exon	escape
ENSG00000115289.15.novel4	0.65	trigger_nmd	trigger
ENSG00000115368.11.novel1	0.65	trigger_nmd	trigger
ENSG00000115368.11.novel5	0	last_exon	escape
ENSG00000115486.14.novel1	0.65	trigger_nmd	trigger
ENSG00000115602.18.novel1	0.65	trigger_nmd	trigger
ENSG00000115750.18.novel2	0	last_exon	escape
ENSG00000115993.14.novel1	0	last_exon	escape
ENSG00000115993.14.novel2	0.65	trigger_nmd	trigger
ENSG00000116001.18.novel17	0.65	trigger_nmd	trigger
ENSG00000116198.15.novel1	0	last_exon	escape
ENSG00000116198.15.novel7	0.65	trigger_nmd	trigger
ENSG00000116266.12.novel1	0	last_exon	escape
ENSG00000116266.12.novel2	0.65	trigger_nmd	trigger
ENSG00000116337.21.novel2	0.65	trigger_nmd	trigger
ENSG00000116473.16.novel1	0.65	trigger_nmd	trigger
ENSG00000116679.18.novel1	0	last_exon	escape
ENSG00000116704.9.novel1	0.2	50nt_rule	escape
ENSG00000116704.9.novel2	0	last_exon	escape
ENSG00000116754.15.novel1	0.65	trigger_nmd	trigger
ENSG00000116754.15.novel2	0	last_exon	escape
ENSG00000116954.9.novel2	0.65	trigger_nmd	trigger
ENSG00000116954.9.novel7	0	last_exon	escape
