comparator_isoform_id	gene_id	reference_isoform_id	comparison	distance	category	last_ejc_tx_pos	own_stop_tx_pos
ENSG00000076067.15.novel2	ENSG00000076067.15	ENST00000262031.10	Control	-22	truncated_no_ejc	1383	1405
ENSG00000076067.15.novel3	ENSG00000076067.15	ENST00000262031.10	NMD	768	effectively_ptc	1592	824
ENSG00000076928.21.novel3	ENSG00000076928.21	ENST00000354532.8	NMD	952	effectively_ptc	2991	2039
ENSG00000077238.15.novel2	ENSG00000077238.15	ENST00000395762.7	NMD	-64	truncated_no_ejc	1520	1584
ENSG00000077454.18.novel3	ENSG00000077454.18	ENST00000310300.11	NMD	718	effectively_ptc	1951	1233
ENSG00000077458.13.novel71	ENSG00000077458.13	ENST00000358780.10	Control	-83	truncated_no_ejc	2141	2224
ENSG00000077585.15.novel1	ENSG00000077585.15	ENST00000366592.8	Control	384	effectively_ptc	1007	623
ENSG00000077585.15.novel4	ENSG00000077585.15	ENST00000366592.8	NMD	101	effectively_ptc	1431	1330
ENSG00000077713.20.novel1	ENSG00000077713.20	ENST00000217909.8	Control	100	effectively_ptc	764	664
ENSG00000077713.20.novel3	ENSG00000077713.20	ENST00000217909.8	NMD	229	effectively_ptc	1111	882
ENSG00000077942.20.novel1	ENSG00000077942.20	ENST00000262722.11	NMD	776	effectively_ptc	1998	1222
ENSG00000078070.15.novel1	ENSG00000078070.15	ENST00000265594.9	NMD	1770	effectively_ptc	2068	298
ENSG00000078070.15.novel4	ENSG00000078070.15	ENST00000265594.9	Control	-13	truncated_no_ejc	508	521
ENSG00000078747.18.novel7	ENSG00000078747.18	ENST00000374864.10	NMD	875	effectively_ptc	2712	1837
ENSG00000079385.24.novel1	ENSG00000079385.24	ENST00000403444.7	NMD	220	effectively_ptc	1507	1287
ENSG00000080189.16.novel1	ENSG00000080189.16	ENST00000372230.10	NMD	190	effectively_ptc	1298	1108
ENSG00000080608.11.novel10	ENSG00000080608.11	ENST00000397885.3	NMD	774	effectively_ptc	1858	1084
ENSG00000080608.11.novel14	ENSG00000080608.11	ENST00000397885.3	Control	-131	no_downstream_ejc	3954	4085
ENSG00000081320.13.novel1	ENSG00000081320.13	ENST00000263955.9	NMD	464	effectively_ptc	1259	795
ENSG00000084073.11.novel1	ENSG00000084073.11	ENST00000372759.4	Control	939	effectively_ptc	1477	538
ENSG00000085433.18.novel2	ENSG00000085433.18	ENST00000369962.8	NMD	1298	effectively_ptc	2229	931
ENSG00000085721.14.novel1	ENSG00000085721.14	ENST00000198767.11	NMD	1105	effectively_ptc	1827	722
ENSG00000086200.18.novel22	ENSG00000086200.18	ENST00000409534.1	NMD	-163	no_downstream_ejc	2862	3025
ENSG00000086696.12.novel1	ENSG00000086696.12	ENST00000199936.9	NMD	192	effectively_ptc	1161	969
ENSG00000086696.12.novel2	ENSG00000086696.12	ENST00000199936.9	Control	-360	truncated_no_ejc	842	1202
ENSG00000087076.10.novel1	ENSG00000087076.10	ENST00000263278.9	Control	-95	truncated_no_ejc	976	1071
ENSG00000087076.10.novel2	ENSG00000087076.10	ENST00000263278.9	NMD	126	effectively_ptc	1010	884
ENSG00000087884.17.novel1	ENSG00000087884.17	ENST00000526415.5	Control	-139	no_downstream_ejc	578	717
ENSG00000088451.12.novel1	ENSG00000088451.12	ENST00000261296.7	NMD	605	effectively_ptc	1058	453
ENSG00000088451.12.novel3	ENSG00000088451.12	ENST00000261296.7	Control	970	effectively_ptc	1225	255
ENSG00000088766.13.novel1	ENSG00000088766.13	ENST00000378863.9	Control	-18	truncated_no_ejc	907	925
ENSG00000088766.13.novel11	ENSG00000088766.13	ENST00000378863.9	NMD	428	effectively_ptc	1354	926
ENSG00000089060.13.novel9	ENSG00000089060.13	ENST00000680972.1	NMD	507	effectively_ptc	2335	1828
ENSG00000089639.12.novel2	ENSG00000089639.12	ENST00000203556.9	NMD	259	effectively_ptc	2495	2236
ENSG00000090054.17.novel2	ENSG00000090054.17	ENST00000262554.7	NMD	292	effectively_ptc	1501	1209
ENSG00000090661.14.novel1	ENSG00000090661.14	ENST00000251363.10	Control	-178	no_downstream_ejc	1590	1768
ENSG00000090661.14.novel4	ENSG00000090661.14	ENST00000251363.10	NMD	279	effectively_ptc	1574	1295
ENSG00000090989.19.novel1	ENSG00000090989.19	ENST00000892248.1	Control	-31	truncated_no_ejc	1407	1438
ENSG00000090989.19.novel54	ENSG00000090989.19	ENST00000892248.1	NMD	-420	truncated_no_ejc	2495	2915
ENSG00000091127.15.novel1	ENSG00000091127.15	ENST00000469408.6	NMD	431	effectively_ptc	2062	1631
ENSG00000091844.9.novel1	ENSG00000091844.9	ENST00000206262.2	Control	-187	no_downstream_ejc	585	772
ENSG00000091844.9.novel2	ENSG00000091844.9	ENST00000206262.2	NMD	106	effectively_ptc	937	831
ENSG00000092036.20.novel9	ENSG00000092036.20	ENST00000541587.6	NMD	327	effectively_ptc	1196	869
ENSG00000092108.23.novel2	ENSG00000092108.23	ENST00000458591.7	NMD	368	effectively_ptc	2037	1669
ENSG00000093009.12.novel3	ENSG00000093009.12	ENST00000263201.7	NMD	999	effectively_ptc	1859	860
ENSG00000093010.16.novel1	ENSG00000093010.16	ENST00000361682.11	NMD	75	effectively_ptc	1405	1330
ENSG00000093167.19.novel2	ENSG00000093167.19	ENST00000421276.6	NMD	352	effectively_ptc	1860	1508
ENSG00000095303.18.novel1	ENSG00000095303.18	ENST00000362012.7	NMD	1533	effectively_ptc	1772	239
ENSG00000096717.13.novel1	ENSG00000096717.13	ENST00000212015.11	Control	1370	effectively_ptc	2172	802
ENSG00000096717.13.novel3	ENSG00000096717.13	ENST00000212015.11	NMD	1085	effectively_ptc	2152	1067
ENSG00000096746.19.novel1	ENSG00000096746.19	ENST00000265866.12	Control	-75	no_downstream_ejc	2037	2112
ENSG00000096746.19.novel2	ENSG00000096746.19	ENST00000265866.12	NMD	611	effectively_ptc	2072	1461
ENSG00000099282.11.novel1	ENSG00000099282.11	ENST00000373290.7	NMD	67	effectively_ptc	993	926
ENSG00000099326.10.novel1	ENSG00000099326.10	ENST00000215057.7	NMD	138	effectively_ptc	1345	1207
ENSG00000099849.16.novel1	ENSG00000099849.16	ENST00000397582.7	NMD	-10	truncated_no_ejc	1134	1144
ENSG00000099917.18.novel1	ENSG00000099917.18	ENST00000292733.11	NMD	2257	effectively_ptc	2469	212
ENSG00000099998.20.novel2	ENSG00000099998.20	ENST00000327365.10	NMD	678	effectively_ptc	1606	928
ENSG00000100003.18.novel10	ENSG00000100003.18	ENST00000615189.5	NMD	845	effectively_ptc	1150	305
ENSG00000100003.18.novel12	ENSG00000100003.18	ENST00000615189.5	Control	37	truncated_no_ejc	1086	1049
ENSG00000100083.21.novel4	ENSG00000100083.21	ENST00000343632.9	NMD	957	effectively_ptc	2240	1283
ENSG00000100151.17.novel1	ENSG00000100151.17	ENST00000356976.8	Control	-267	no_downstream_ejc	1339	1606
ENSG00000100151.17.novel3	ENSG00000100151.17	ENST00000356976.8	NMD	626	effectively_ptc	1174	548
ENSG00000100239.17.novel2	ENSG00000100239.17	ENST00000612753.5	NMD	2523	effectively_ptc	3191	668
ENSG00000100258.19.novel3	ENSG00000100258.19	ENST00000474879.7	NMD	1114	effectively_ptc	1806	692
ENSG00000100258.19.novel7	ENSG00000100258.19	ENST00000474879.7	Control	1991	effectively_ptc	2439	448
ENSG00000100284.23.novel1	ENSG00000100284.23	ENST00000449058.7	NMD	1103	effectively_ptc	1390	287
ENSG00000100294.14.novel1	ENSG00000100294.14	ENST00000327555.5	NMD	321	effectively_ptc	843	522
ENSG00000100294.14.novel3	ENSG00000100294.14	ENST00000327555.5	Control	-22	no_downstream_ejc	792	814
ENSG00000100417.13.novel1	ENSG00000100417.13	ENST00000216259.8	NMD	99	effectively_ptc	809	710
ENSG00000100418.9.novel1	ENSG00000100418.9	ENST00000263256.7	Control	-215	no_downstream_ejc	663	878
ENSG00000100418.9.novel3	ENSG00000100418.9	ENST00000263256.7	NMD	311	effectively_ptc	819	508
ENSG00000100519.13.novel1	ENSG00000100519.13	ENST00000445930.7	NMD	1167	effectively_ptc	1568	401
ENSG00000100519.13.novel69	ENSG00000100519.13	ENST00000445930.7	Control	-87	truncated_no_ejc	767	854
ENSG00000100558.10.novel1	ENSG00000100558.10	ENST00000216446.9	NMD	904	effectively_ptc	1290	386
ENSG00000100558.10.novel4	ENSG00000100558.10	ENST00000216446.9	Control	-126	truncated_no_ejc	1079	1205
ENSG00000100726.16.novel2	ENSG00000100726.16	ENST00000262319.11	NMD	952	effectively_ptc	2628	1676
ENSG00000100897.19.novel11	ENSG00000100897.19	ENST00000559115.5	NMD	1039	effectively_ptc	2363	1324
ENSG00000100897.19.novel4	ENSG00000100897.19	ENST00000559115.5	Control	-133	no_downstream_ejc	2808	2941
ENSG00000100918.15.novel7	ENSG00000100918.15	ENST00000620473.4	NMD	478	effectively_ptc	2080	1602
ENSG00000101150.19.novel1	ENSG00000101150.19	ENST00000346249.9	NMD	52	effectively_ptc	1762	1710
ENSG00000101152.13.novel1	ENSG00000101152.13	ENST00000360864.9	Control	-102	no_downstream_ejc	1022	1124
ENSG00000101166.17.novel59	ENSG00000101166.17	ENST00000355937.9	NMD	164	effectively_ptc	943	779
ENSG00000101194.19.novel1	ENSG00000101194.19	ENST00000370351.9	NMD	256	effectively_ptc	1340	1084
ENSG00000101194.19.novel2	ENSG00000101194.19	ENST00000370351.9	Control	-78	truncated_no_ejc	1330	1408
ENSG00000101452.16.novel1	ENSG00000101452.16	ENST00000252011.8	Control	-43	truncated_no_ejc	2125	2168
ENSG00000101751.12.novel1	ENSG00000101751.12	ENST00000579534.6	Control	1240	effectively_ptc	1606	366
ENSG00000101751.12.novel5	ENSG00000101751.12	ENST00000579534.6	NMD	387	effectively_ptc	1506	1119
ENSG00000101773.20.novel47	ENSG00000101773.20	ENST00000327155.10	NMD	1948	effectively_ptc	3208	1260
ENSG00000101773.20.novel58	ENSG00000101773.20	ENST00000327155.10	Control	-947	truncated_no_ejc	1418	2365
ENSG00000102007.12.novel1	ENSG00000102007.12	ENST00000376327.6	NMD	220	effectively_ptc	990	770
ENSG00000102007.12.novel2	ENSG00000102007.12	ENST00000376327.6	Control	326	effectively_ptc	834	508
ENSG00000102032.14.novel3	ENSG00000102032.14	ENST00000393700.8	NMD	1134	effectively_ptc	1418	284
ENSG00000102032.14.novel7	ENSG00000102032.14	ENST00000393700.8	Control	1242	effectively_ptc	1361	119
ENSG00000102158.23.novel1	ENSG00000102158.23	ENST00000358075.11	Control	611	effectively_ptc	1800	1189
ENSG00000102158.23.novel4	ENSG00000102158.23	ENST00000358075.11	NMD	191	effectively_ptc	1380	1189
ENSG00000102225.18.novel1	ENSG00000102225.18	ENST00000357227.9	NMD	-36	no_downstream_ejc	1992	2028
ENSG00000102312.25.novel1	ENSG00000102312.25	ENST00000361988.7	NMD	921	effectively_ptc	1774	853
ENSG00000102738.9.novel2	ENSG00000102738.9	ENST00000323563.8	Control	-290	truncated_no_ejc	359	649
ENSG00000102738.9.novel24	ENSG00000102738.9	ENST00000323563.8	NMD	221	effectively_ptc	1439	1218
ENSG00000102796.13.novel1	ENSG00000102796.13	ENST00000650833.1	Control	-108	no_downstream_ejc	942	1050
ENSG00000102796.13.novel80	ENSG00000102796.13	ENST00000650833.1	NMD	134	effectively_ptc	831	697
ENSG00000103061.14.novel1	ENSG00000103061.14	ENST00000263997.11	NMD	119	effectively_ptc	1177	1058
ENSG00000103061.14.novel4	ENSG00000103061.14	ENST00000263997.11	Control	-154	truncated_no_ejc	757	911
ENSG00000103067.15.novel1	ENSG00000103067.15	ENST00000473183.7	NMD	1081	effectively_ptc	2148	1067
ENSG00000103067.15.novel5	ENSG00000103067.15	ENST00000473183.7	Control	1674	effectively_ptc	2284	610
ENSG00000103253.20.novel1	ENSG00000103253.20	ENST00000389703.8	NMD	152	effectively_ptc	1764	1612
ENSG00000103253.20.novel3	ENSG00000103253.20	ENST00000389703.8	Control	-167	no_downstream_ejc	1439	1606
ENSG00000103264.19.novel12	ENSG00000103264.19	ENST00000311635.12	NMD	1627	effectively_ptc	2960	1333
ENSG00000103429.12.novel1	ENSG00000103429.12	ENST00000562442.5	NMD	372	effectively_ptc	1341	969
ENSG00000103549.23.novel1	ENSG00000103549.23	ENST00000324685.11	Control	-175	no_downstream_ejc	3357	3532
ENSG00000103549.23.novel6	ENSG00000103549.23	ENST00000324685.11	NMD	823	effectively_ptc	3591	2768
ENSG00000103642.12.novel24	ENSG00000103642.12	ENST00000261893.9	Control	-346	truncated_no_ejc	700	1046
ENSG00000103642.12.novel7	ENSG00000103642.12	ENST00000261893.9	NMD	74	effectively_ptc	1260	1186
ENSG00000104205.17.novel18	ENSG00000104205.17	ENST00000521198.7	NMD	396	effectively_ptc	1492	1096
ENSG00000104320.16.novel1	ENSG00000104320.16	ENST00000265433.8	NMD	1634	effectively_ptc	2267	633
ENSG00000104375.18.novel1	ENSG00000104375.18	ENST00000419617.7	Control	-316	truncated_no_ejc	1032	1348
ENSG00000104375.18.novel9	ENSG00000104375.18	ENST00000419617.7	NMD	151	effectively_ptc	1083	932
ENSG00000104412.9.novel1	ENSG00000104412.9	ENST00000220853.8	NMD	376	effectively_ptc	807	431
ENSG00000104497.16.novel1	ENSG00000104497.16	ENST00000345957.9	NMD	240	effectively_ptc	1456	1216
ENSG00000104635.16.novel2	ENSG00000104635.16	ENST00000381237.6	NMD	850	effectively_ptc	1836	986
ENSG00000104714.15.novel1	ENSG00000104714.15	ENST00000262109.8	NMD	83	effectively_ptc	1350	1267
ENSG00000104714.15.novel3	ENSG00000104714.15	ENST00000262109.8	Control	-813	truncated_no_ejc	400	1213
ENSG00000104756.17.novel1	ENSG00000104756.17	ENST00000221200.9	NMD	850	effectively_ptc	1431	581
ENSG00000104756.17.novel3	ENSG00000104756.17	ENST00000221200.9	Control	802	effectively_ptc	1109	307
ENSG00000104856.15.novel2	ENSG00000104856.15	ENST00000505236.2	Control	-552	truncated_no_ejc	366	918
ENSG00000104856.15.novel5	ENSG00000104856.15	ENST00000505236.2	NMD	688	effectively_ptc	1402	714
ENSG00000104960.15.novel3	ENSG00000104960.15	ENST00000599732.5	NMD	342	effectively_ptc	2031	1689
ENSG00000105131.9.novel1	ENSG00000105131.9	ENST00000221730.8	NMD	572	effectively_ptc	1583	1011
ENSG00000105131.9.novel2	ENSG00000105131.9	ENST00000221730.8	Control	-224	no_downstream_ejc	1425	1649
ENSG00000105298.15.novel1	ENSG00000105298.15	ENST00000429344.7	NMD	440	effectively_ptc	2041	1601
ENSG00000105298.15.novel2	ENSG00000105298.15	ENST00000429344.7	Control	-509	truncated_no_ejc	368	877
ENSG00000105321.15.novel26	ENSG00000105321.15	ENST00000221922.11	Control	-16	no_downstream_ejc	1753	1769
ENSG00000105321.15.novel3	ENSG00000105321.15	ENST00000221922.11	NMD	1123	effectively_ptc	1416	293
ENSG00000105443.17.novel12	ENSG00000105443.17	ENST00000452733.7	Control	-208	truncated_no_ejc	1014	1222
ENSG00000105443.17.novel9	ENSG00000105443.17	ENST00000452733.7	NMD	944	effectively_ptc	1381	437
ENSG00000105499.15.novel1	ENSG00000105499.15	ENST00000599921.6	Control	-79	truncated_no_ejc	1732	1811
ENSG00000105499.15.novel3	ENSG00000105499.15	ENST00000599921.6	NMD	-264	truncated_no_ejc	965	1229
ENSG00000105655.20.novel2	ENSG00000105655.20	ENST00000338128.13	NMD	1071	effectively_ptc	2228	1157
ENSG00000105656.14.novel1	ENSG00000105656.14	ENST00000262809.9	NMD	1643	effectively_ptc	1941	298
ENSG00000105793.17.novel3	ENSG00000105793.17	ENST00000222511.11	NMD	346	effectively_ptc	940	594
ENSG00000105852.12.novel1	ENSG00000105852.12	ENST00000265627.10	NMD	409	effectively_ptc	912	503
ENSG00000105856.15.novel8	ENSG00000105856.15	ENST00000468410.5	NMD	580	effectively_ptc	1488	908
ENSG00000105993.16.novel1	ENSG00000105993.16	ENST00000429029.6	NMD	182	effectively_ptc	880	698
ENSG00000106052.15.novel1	ENSG00000106052.15	ENST00000265393.10	Control	-200	truncated_no_ejc	2026	2226
ENSG00000106052.15.novel4	ENSG00000106052.15	ENST00000265393.10	NMD	77	effectively_ptc	2058	1981
ENSG00000106258.17.novel1	ENSG00000106258.17	ENST00000222982.8	NMD	1238	effectively_ptc	1680	442
ENSG00000106526.13.novel1	ENSG00000106526.13	ENST00000683684.1	NMD	323	effectively_ptc	1052	729
ENSG00000106526.13.novel8	ENSG00000106526.13	ENST00000683684.1	Control	40	no_downstream_ejc	861	821
ENSG00000106701.14.novel1	ENSG00000106701.14	ENST00000469022.5	Control	-124	no_downstream_ejc	1566	1690
ENSG00000106701.14.novel2	ENSG00000106701.14	ENST00000469022.5	NMD	954	effectively_ptc	1672	718
ENSG00000106771.14.novel4	ENSG00000106771.14	ENST00000413712.7	NMD	575	effectively_ptc	2569	1994
ENSG00000107164.18.novel2	ENSG00000107164.18	ENST00000319725.10	NMD	543	effectively_ptc	2011	1468
ENSG00000107614.23.novel2	ENSG00000107614.23	ENST00000377799.8	Control	-99	truncated_no_ejc	1377	1476
