gene_id	dominant_isoform_id	non_dominant_isoform_id	dom_start_codon	both_valid_atg	dom_scanned_orf_length_nt	comp_scanned_orf_length_nt	dom_stop_codon_type	comp_stop_codon_type	dom_reached_end	comp_reached_end	dom_ptc_distance	comp_ptc_distance	dom_has_ptc	comp_has_ptc	orf_length_diff	n_cds_events	net_shift	net_frame_status
ENSG00000078596	PB.33992.1	ENST00000933705.1	79367215	TRUE	789	762	TAA	TAA	FALSE	FALSE	-87	-87	FALSE	FALSE	-27	1	-27	frame_preserved
ENSG00000116745	ENST00000262340.6	ENST00000713937.1	68449905	TRUE	1599	1236	TGA	TGA	FALSE	FALSE	-150	600	FALSE	TRUE	-363	1	0	frame_preserved
ENSG00000116745	ENST00000262340.6	PB.1272.1	68449905	TRUE	1599	1599	TGA	TGA	FALSE	FALSE	-150	-150	FALSE	FALSE	0	NA	NA	NA
ENSG00000117054	ENST00000534334.5	ENST00000680844.1	75724788	TRUE	312	129	TGA	TAG	FALSE	FALSE	688	731	TRUE	TRUE	-183	3	17	frame_disrupted
ENSG00000117054	ENST00000534334.5	ENST00000680805.1	75724788	TRUE	312	1122	TGA	TAA	FALSE	FALSE	688	-70	TRUE	FALSE	810	1	101	frame_disrupted
ENSG00000117054	ENST00000534334.5	ENST00000927353.1	75724788	TRUE	312	882	TGA	TAA	FALSE	FALSE	688	-70	TRUE	FALSE	570	1	101	frame_disrupted
ENSG00000117054	ENST00000680805.1	ENST00000680844.1	75724788	TRUE	1122	129	TAA	TAG	FALSE	FALSE	-70	731	FALSE	TRUE	-993	4	57	frame_preserved
ENSG00000128272	PB.20761.1	ENST00000921525.1	39521446	TRUE	1053	1053	TAG	TAG	FALSE	FALSE	-828	-828	FALSE	FALSE	0	NA	NA	NA
ENSG00000138069	ENST00000931494.1	ENST00000931493.1	65129915	TRUE	516	615	TAA	TAA	FALSE	FALSE	-196	-196	FALSE	FALSE	99	2	99	frame_preserved
ENSG00000138069	ENST00000931494.1	ENST00000887625.1	65129915	TRUE	516	612	TAA	TAA	FALSE	FALSE	-196	-196	FALSE	FALSE	96	1	96	frame_preserved
ENSG00000138069	ENST00000931493.1	ENST00000887625.1	65129915	TRUE	615	612	TAA	TAA	FALSE	FALSE	-196	-196	FALSE	FALSE	-3	1	-3	frame_preserved
ENSG00000138069	ENST00000931493.1	ENST00000931494.1	65129915	TRUE	615	516	TAA	TAA	FALSE	FALSE	-196	-196	FALSE	FALSE	-99	2	-99	frame_preserved
ENSG00000138161	ENST00000924221.1	PB.4720.5	122845843	TRUE	1578	1821	TAA	TAA	FALSE	FALSE	-171	-171	FALSE	FALSE	243	2	243	frame_preserved
ENSG00000138315	ENST00000858589.1	ENST00000622652.1	72893799	TRUE	1512	963	TAG	TGA	FALSE	FALSE	-169	87	FALSE	TRUE	-549	2	-293	frame_disrupted
ENSG00000139168	ENST00000266529.8	PB.7054.3	42324102	TRUE	651	423	TAA	NA	FALSE	TRUE	-130	NA	FALSE	NA	-228	2	-1834	frame_disrupted
ENSG00000143314	ENST00000915508.1	ENST00000915500.1	156738704	TRUE	642	648	TGA	TGA	FALSE	FALSE	-135	-135	FALSE	FALSE	6	1	6	frame_preserved
ENSG00000143314	ENST00000915508.1	ENST00000915501.1	156738704	TRUE	642	552	TGA	TGA	FALSE	FALSE	-135	-135	FALSE	FALSE	-90	1	-90	frame_preserved
ENSG00000143314	ENST00000915508.1	ENST00000915503.1	156738704	TRUE	642	630	TGA	TGA	FALSE	FALSE	-135	-135	FALSE	FALSE	-12	2	-12	frame_preserved
ENSG00000143314	ENST00000915508.1	ENST00000915502.1	156738704	TRUE	642	669	TGA	TGA	FALSE	FALSE	-135	-135	FALSE	FALSE	27	2	27	frame_preserved
ENSG00000144199	ENST00000902386.1	ENST00000954027.1	97091706	TRUE	852	765	TGA	TGA	FALSE	FALSE	-61	-61	FALSE	FALSE	-87	2	-87	frame_preserved
ENSG00000144199	ENST00000954027.1	ENST00000902386.1	97091706	TRUE	765	852	TGA	TGA	FALSE	FALSE	-61	-61	FALSE	FALSE	87	2	87	frame_preserved
ENSG00000149451	ENST00000959298.1	ENST00000379861.8	3682004	TRUE	2472	2436	TGA	TGA	FALSE	FALSE	-33	-33	FALSE	FALSE	-36	2	-36	frame_preserved
ENSG00000149451	ENST00000959298.1	ENST00000959299.1	3682004	TRUE	2472	2415	TGA	TGA	FALSE	FALSE	-33	-36	FALSE	FALSE	-57	4	-57	frame_preserved
ENSG00000157873	PB.84.12	ENST00000860789.1	2556665	TRUE	555	1068	TGA	TGA	FALSE	FALSE	2070	-124	TRUE	FALSE	513	2	-723	frame_preserved
ENSG00000157873	PB.84.12	ENST00000860788.1	2556665	TRUE	555	843	TGA	TGA	FALSE	FALSE	2070	-124	TRUE	FALSE	288	1	-942	frame_preserved
ENSG00000157873	ENST00000860788.1	ENST00000860789.1	2556665	TRUE	843	1068	TGA	TGA	FALSE	FALSE	-124	-124	FALSE	FALSE	225	2	225	frame_preserved
ENSG00000157873	ENST00000860788.1	PB.84.12	2556665	TRUE	843	555	TGA	TGA	FALSE	FALSE	-124	2070	FALSE	TRUE	-288	2	942	frame_preserved
ENSG00000160075	ENST00000851387.1	PB.52.1	1574557	TRUE	438	534	TGA	TGA	FALSE	FALSE	-100	-171	FALSE	FALSE	96	2	144	frame_preserved
ENSG00000163975	ENST00000696016.1	PB.23252.6	197029702	TRUE	2010	1845	TAA	TGA	FALSE	FALSE	-73	-254	FALSE	FALSE	-165	7	-563	frame_disrupted
ENSG00000171574	ENST00000703727.1	ENST00000322834.7	58409148	TRUE	96	435	TGA	TAA	FALSE	FALSE	2305	-46	TRUE	FALSE	339	1	127	frame_disrupted
ENSG00000171574	ENST00000322834.7	ENST00000703727.1	58409148	TRUE	435	96	TAA	TGA	FALSE	FALSE	-46	2305	FALSE	TRUE	-339	2	-249	frame_preserved
ENSG00000171916	ENST00000577691.5	ENST00000892832.1	18476855	TRUE	225	1065	TGA	TAG	FALSE	FALSE	461	-145	TRUE	FALSE	840	1	71	frame_disrupted
ENSG00000171916	ENST00000577691.5	ENST00000584941.5	18476855	TRUE	225	702	TGA	TGA	FALSE	FALSE	461	-77	TRUE	FALSE	477	1	71	frame_disrupted
ENSG00000184281	ENST00000380996.9	ENST00000437110.5	2402634	TRUE	795	610	TGA	NA	FALSE	TRUE	-777	NA	FALSE	NA	-185	2	-635	frame_disrupted
ENSG00000184281	ENST00000380996.9	ENST00000440813.1	2402634	TRUE	795	623	TGA	NA	FALSE	TRUE	-777	NA	FALSE	NA	-172	1	-430	frame_disrupted
ENSG00000184281	ENST00000380996.9	PB.4884.6	2402634	TRUE	795	987	TGA	TGA	FALSE	FALSE	-777	-1011	FALSE	FALSE	192	1	0	frame_preserved
ENSG00000184281	ENST00000440813.1	ENST00000437110.5	2402634	TRUE	623	610	NA	NA	TRUE	TRUE	NA	NA	NA	NA	-13	2	-205	frame_disrupted
ENSG00000184281	ENST00000440813.1	ENST00000380996.9	2402634	TRUE	623	795	NA	TGA	TRUE	FALSE	NA	-777	NA	FALSE	172	NA	NA	NA
ENSG00000184281	ENST00000440813.1	PB.4884.6	2402634	TRUE	623	987	NA	TGA	TRUE	FALSE	NA	-1011	NA	FALSE	364	1	0	frame_preserved
ENSG00000187642	ENST00000880870.1	ENST00000433179.4	981029	TRUE	2370	2370	TAG	TAG	FALSE	FALSE	-96	-96	FALSE	FALSE	0	NA	NA	NA
ENSG00000187642	ENST00000880870.1	ENST00000880869.1	981029	TRUE	2370	2370	TAG	TAG	FALSE	FALSE	-96	-96	FALSE	FALSE	0	NA	NA	NA
ENSG00000188242	PB.24920.2	PB.24920.3	472413	TRUE	339	339	TGA	TGA	FALSE	FALSE	NA	NA	FALSE	FALSE	0	NA	NA	NA
ENSG00000196352	PB.2826.11	PB.2826.15	207321766	TRUE	1242	1149	TAG	TAG	FALSE	FALSE	205	-63	TRUE	FALSE	-93	2	-243	frame_preserved
ENSG00000196352	PB.2826.11	PB.2826.28	207321766	TRUE	1242	1149	TAG	TAG	FALSE	FALSE	205	-63	TRUE	FALSE	-93	2	-243	frame_preserved
ENSG00000196352	PB.2826.11	PB.2826.6	207321766	TRUE	1242	1149	TAG	TAG	FALSE	FALSE	205	-63	TRUE	FALSE	-93	2	-243	frame_preserved
ENSG00000196352	PB.2826.11	PB.2826.8	207321766	TRUE	1242	1098	TAG	TGA	FALSE	FALSE	205	73	TRUE	TRUE	-144	2	-243	frame_preserved
ENSG00000197562	PB.11327.3	ENST00000565511.5	590292	TRUE	570	390	TAG	TGA	FALSE	FALSE	383	157	TRUE	TRUE	-180	2	206	frame_disrupted
ENSG00000197562	PB.11327.3	PB.11327.18	590292	TRUE	570	843	TAG	TAG	FALSE	FALSE	383	-279	TRUE	FALSE	273	1	0	frame_preserved
ENSG00000198223	ENST00000355432.8	ENST00000886981.1	1282704	TRUE	1131	1224	TAA	TGA	FALSE	FALSE	-186	-76	FALSE	FALSE	93	2	203	frame_disrupted
ENSG00000198223	ENST00000886981.1	ENST00000355432.8	1282704	TRUE	1224	1131	TGA	TAA	FALSE	FALSE	-76	-186	FALSE	FALSE	-93	2	-203	frame_disrupted
ENSG00000205250	ENST00000957228.1	ENST00000379378.8	67192228	TRUE	1254	1239	TGA	TGA	FALSE	FALSE	-114	-114	FALSE	FALSE	-15	1	-15	frame_preserved
ENSG00000205250	ENST00000957228.1	ENST00000957227.1	67192228	TRUE	1254	1233	TGA	TGA	FALSE	FALSE	-114	-114	FALSE	FALSE	-21	2	-21	frame_preserved
ENSG00000205250	ENST00000957227.1	ENST00000379378.8	67192228	TRUE	1233	1239	TGA	TGA	FALSE	FALSE	-114	-114	FALSE	FALSE	6	1	6	frame_preserved
ENSG00000205250	ENST00000957227.1	ENST00000957228.1	67192228	TRUE	1233	1254	TGA	TGA	FALSE	FALSE	-114	-114	FALSE	FALSE	21	2	21	frame_preserved
ENSG00000249709	ENST00000416136.1	PB.15132.2	12551332	TRUE	63	1659	TAA	TAG	FALSE	FALSE	-61	1338	FALSE	TRUE	1596	1	-150	frame_preserved
ENSG00000273984	ENST00000630127.2	ENST00000629947.2	3239	FALSE	18	18	TAA	TAA	FALSE	FALSE	15947	15933	NA	NA	0	NA	NA	NA
ENSG00000277707	ENST00000620861.1	ENST00000622636.4	92772	TRUE	1497	1473	TGA	TGA	FALSE	FALSE	-124	-14	FALSE	FALSE	-24	1	0	frame_preserved
ENSG00000281244	ENST00000630700.2	ENST00000626661.1	248538	TRUE	1032	828	TGA	TGA	FALSE	FALSE	-209	1271	FALSE	TRUE	-204	2	-349	frame_disrupted
ENSG00000022267	ENST00000862286.1	ENST00000862284.1	136197113	TRUE	699	531	TAA	TAA	FALSE	FALSE	-153	-153	FALSE	FALSE	-168	4	-168	frame_preserved
ENSG00000022267	ENST00000862286.1	ENST00000862283.1	136197113	TRUE	699	807	TAA	TAA	FALSE	FALSE	-153	-153	FALSE	FALSE	108	3	108	frame_preserved
ENSG00000052795	PB.24671.102	PB.24671.103	158869361	TRUE	618	618	TAA	TAA	FALSE	FALSE	-77	-77	FALSE	FALSE	0	NA	NA	NA
ENSG00000069943	ENST00000858253.1	ENST00000946972.1	55319251	TRUE	1512	1569	TGA	TGA	FALSE	FALSE	-145	-145	FALSE	FALSE	57	3	57	frame_preserved
ENSG00000069943	ENST00000946972.1	ENST00000858253.1	55319251	TRUE	1569	1512	TGA	TGA	FALSE	FALSE	-145	-145	FALSE	FALSE	-57	3	-57	frame_preserved
ENSG00000070669	ENST00000454046.5	ENST00000394308.8	97869156	TRUE	1203	1683	TGA	TAG	FALSE	FALSE	346	-208	TRUE	FALSE	480	1	-74	frame_disrupted
ENSG00000070669	ENST00000454046.5	ENST00000968227.1	97869156	TRUE	1203	1683	TGA	TAG	FALSE	FALSE	346	-208	TRUE	FALSE	480	1	-74	frame_disrupted
ENSG00000070669	ENST00000394308.8	ENST00000394309.7	97869156	TRUE	1683	1683	TAG	TAG	FALSE	FALSE	-208	-208	FALSE	FALSE	0	NA	NA	NA
ENSG00000070669	ENST00000394308.8	ENST00000454046.5	97869156	TRUE	1683	1203	TAG	TGA	FALSE	FALSE	-208	346	FALSE	TRUE	-480	1	74	frame_disrupted
ENSG00000075131	ENST00000912705.1	ENST00000955703.1	66352947	TRUE	903	903	TAA	TAA	FALSE	FALSE	-222	-222	FALSE	FALSE	0	NA	NA	NA
ENSG00000075131	ENST00000912705.1	ENST00000955702.1	66352947	TRUE	903	903	TAA	TAA	FALSE	FALSE	-222	-222	FALSE	FALSE	0	NA	NA	NA
ENSG00000075131	ENST00000955703.1	ENST00000955702.1	66352947	TRUE	903	903	TAA	TAA	FALSE	FALSE	-222	-222	FALSE	FALSE	0	NA	NA	NA
ENSG00000075131	ENST00000955703.1	ENST00000912705.1	66352947	TRUE	903	903	TAA	TAA	FALSE	FALSE	-222	-222	FALSE	FALSE	0	NA	NA	NA
ENSG00000075415	ENST00000551917.5	ENST00000875100.1	98593979	TRUE	1086	1086	TAG	TAG	FALSE	FALSE	-159	-159	FALSE	FALSE	0	1	0	frame_preserved
ENSG00000075415	ENST00000551917.5	ENST00000918878.1	98593979	TRUE	1086	426	TAG	TAG	FALSE	FALSE	-159	-159	FALSE	FALSE	-660	4	-660	frame_preserved
ENSG00000075415	ENST00000875100.1	ENST00000551917.5	98593979	TRUE	1086	1086	TAG	TAG	FALSE	FALSE	-159	-159	FALSE	FALSE	0	1	0	frame_preserved
ENSG00000075415	ENST00000875100.1	ENST00000918878.1	98593979	TRUE	1086	426	TAG	TAG	FALSE	FALSE	-159	-159	FALSE	FALSE	-660	5	-660	frame_preserved
ENSG00000100170	PB.20629.6	PB.20629.2	32043282	TRUE	1992	1992	TGA	TGA	FALSE	FALSE	-222	-222	FALSE	FALSE	0	NA	NA	NA
ENSG00000100170	PB.20629.6	PB.20629.8	32043282	TRUE	1992	1992	TGA	TGA	FALSE	FALSE	-222	-222	FALSE	FALSE	0	NA	NA	NA
ENSG00000101017	PB.19554.6	ENST00000890863.1	46118344	TRUE	933	675	TGA	TGA	FALSE	FALSE	-260	-157	FALSE	FALSE	-258	3	-155	frame_disrupted
ENSG00000101017	PB.19554.6	ENST00000620709.4	46118344	TRUE	933	453	TGA	TAG	FALSE	FALSE	-260	224	FALSE	TRUE	-480	4	4	frame_disrupted
ENSG00000101017	PB.19554.6	ENST00000890866.1	46118344	TRUE	933	750	TGA	TGA	FALSE	FALSE	-260	-76	FALSE	FALSE	-183	2	-80	frame_disrupted
ENSG00000101017	PB.19554.6	ENST00000890868.1	46118344	TRUE	933	825	TGA	TGA	FALSE	FALSE	-260	-157	FALSE	FALSE	-108	2	-5	frame_disrupted
ENSG00000101017	ENST00000890866.1	ENST00000890863.1	46118344	TRUE	750	675	TGA	TGA	FALSE	FALSE	-76	-157	FALSE	FALSE	-75	3	-75	frame_preserved
ENSG00000101017	ENST00000890866.1	ENST00000890868.1	46118344	TRUE	750	825	TGA	TGA	FALSE	FALSE	-76	-157	FALSE	FALSE	75	2	75	frame_preserved
ENSG00000101019	ENST00000443429.5	ENST00000374384.6	35411963	TRUE	372	819	TAA	TGA	FALSE	FALSE	205	-133	TRUE	FALSE	447	1	73	frame_disrupted
ENSG00000101019	ENST00000443429.5	PB.19386.13	35411963	TRUE	372	759	TAA	TGA	FALSE	FALSE	205	-187	TRUE	FALSE	387	1	73	frame_disrupted
ENSG00000101019	ENST00000443429.5	PB.19386.47	35411963	TRUE	372	459	TAA	TAG	FALSE	FALSE	205	-235	TRUE	FALSE	87	2	-71613	frame_preserved
ENSG00000101638	ENST00000906002.1	ENST00000536490.1	46756508	TRUE	783	1035	TGA	TGA	FALSE	FALSE	-467	-467	FALSE	FALSE	252	4	252	frame_preserved
ENSG00000101638	ENST00000536490.1	ENST00000906002.1	46756508	TRUE	1035	783	TGA	TGA	FALSE	FALSE	-467	-467	FALSE	FALSE	-252	4	-252	frame_preserved
ENSG00000104313	ENST00000862516.1	ENST00000862515.1	71354905	TRUE	1776	1776	TAA	TAA	FALSE	FALSE	-79	-79	FALSE	FALSE	0	NA	NA	NA
ENSG00000104313	ENST00000862516.1	PB.31064.17	71354905	TRUE	1776	1758	TAA	TAA	FALSE	FALSE	-79	-79	FALSE	FALSE	-18	2	-18	frame_preserved
ENSG00000104313	ENST00000862516.1	PB.31064.32	71354905	TRUE	1776	1758	TAA	TAA	FALSE	FALSE	-79	-79	FALSE	FALSE	-18	2	-18	frame_preserved
ENSG00000107317	ENST00000954960.1	ENST00000457950.5	136977579	TRUE	570	587	TAG	NA	FALSE	TRUE	2	NA	FALSE	NA	17	3	-1485	frame_preserved
ENSG00000108231	ENST00000636155.1	ENST00000627420.2	93758145	TRUE	861	216	TAG	TAA	FALSE	FALSE	-24	549	FALSE	TRUE	-645	5	-8032	frame_disrupted
ENSG00000108231	ENST00000636155.1	ENST00000636946.1	93758145	TRUE	861	288	TAG	TGA	FALSE	FALSE	-24	1009	FALSE	TRUE	-573	2	-7547	frame_disrupted
ENSG00000108231	ENST00000636155.1	ENST00000637037.1	93758145	TRUE	861	708	TAG	TGA	FALSE	FALSE	-24	430	FALSE	TRUE	-153	2	-7723	frame_disrupted
ENSG00000108231	ENST00000627420.2	ENST00000636155.1	93758145	TRUE	216	861	TAA	TAG	FALSE	FALSE	549	-24	TRUE	FALSE	645	1	-9	frame_preserved
ENSG00000108231	ENST00000627420.2	ENST00000636946.1	93758145	TRUE	216	288	TAA	TGA	FALSE	FALSE	549	1009	TRUE	TRUE	72	1	-9	frame_preserved
ENSG00000108231	ENST00000627420.2	ENST00000637037.1	93758145	TRUE	216	708	TAA	TGA	FALSE	FALSE	549	430	TRUE	TRUE	492	1	-9	frame_preserved
ENSG00000108679	ENST00000857455.1	ENST00000857454.1	78977191	TRUE	1755	621	TAG	TAG	FALSE	FALSE	-1127	-570	FALSE	FALSE	-1134	4	-1134	frame_preserved
ENSG00000108679	ENST00000857454.1	ENST00000857455.1	78977191	TRUE	621	1755	TAG	TAG	FALSE	FALSE	-570	-1127	FALSE	FALSE	1134	4	1134	frame_preserved
ENSG00000108679	ENST00000857454.1	ENST00000857452.1	78977191	TRUE	621	1755	TAG	TAG	FALSE	FALSE	-570	-1127	FALSE	FALSE	1134	4	1134	frame_preserved
ENSG00000113790	PB.23058.20	PB.23058.3	185235352	TRUE	1881	1881	TGA	TGA	FALSE	FALSE	-1260	-1260	FALSE	FALSE	0	NA	NA	NA
ENSG00000113790	PB.23058.28	PB.23058.42	185204701	TRUE	1545	1545	TGA	TGA	FALSE	FALSE	-1260	-1260	FALSE	FALSE	0	NA	NA	NA
ENSG00000119705	PB.9871.3	ENST00000923197.1	77708112	TRUE	294	321	TAA	TGA	FALSE	FALSE	2330	-64	TRUE	FALSE	27	2	-10470	frame_preserved
ENSG00000119705	PB.9871.3	ENST00000923200.1	77708112	TRUE	294	213	TAA	TGA	FALSE	FALSE	2330	-58	TRUE	FALSE	-81	2	-10577	frame_disrupted
ENSG00000119705	PB.9871.3	ENST00000557342.6	77708112	TRUE	294	327	TAA	TGA	FALSE	FALSE	2330	-64	TRUE	FALSE	33	1	-10469	frame_disrupted
ENSG00000119705	PB.9871.3	ENST00000923204.1	77708112	TRUE	294	423	TAA	TGA	FALSE	FALSE	2330	-64	TRUE	FALSE	129	2	-10373	frame_disrupted
ENSG00000121413	PB.16234.30	ENST00000861649.1	58090267	TRUE	861	1530	TAG	TGA	FALSE	FALSE	-117	-693	FALSE	FALSE	669	1	0	frame_preserved
ENSG00000121413	PB.16234.30	PB.16234.28	58090267	TRUE	861	1530	TAG	TGA	FALSE	FALSE	-117	-693	FALSE	FALSE	669	1	0	frame_preserved
ENSG00000121413	PB.16234.30	ENST00000861648.1	58090267	TRUE	861	1530	TAG	TGA	FALSE	FALSE	-117	-693	FALSE	FALSE	669	1	0	frame_preserved
ENSG00000121413	ENST00000861649.1	ENST00000861648.1	58090267	TRUE	1530	1530	TGA	TGA	FALSE	FALSE	-693	-693	FALSE	FALSE	0	NA	NA	NA
ENSG00000125144	ENST00000929125.1	ENST00000569500.5	56667993	TRUE	174	117	TGA	TGA	FALSE	FALSE	-90	-90	FALSE	FALSE	-57	2	-57	frame_preserved
ENSG00000125144	ENST00000569500.5	ENST00000929125.1	56667993	TRUE	117	174	TGA	TGA	FALSE	FALSE	-90	-90	FALSE	FALSE	57	2	57	frame_preserved
ENSG00000125740	PB.15837.4	ENST00000592436.5	45468587	TRUE	711	711	TGA	TGA	FALSE	FALSE	-1	-1	FALSE	FALSE	0	NA	NA	NA
ENSG00000125740	PB.15837.4	ENST00000585836.5	45468587	TRUE	711	789	TGA	TGA	FALSE	FALSE	-1	-460	FALSE	FALSE	78	3	-225	frame_preserved
ENSG00000125740	ENST00000592436.5	ENST00000585836.5	45468587	TRUE	711	789	TGA	TGA	FALSE	FALSE	-1	-460	FALSE	FALSE	78	3	-225	frame_preserved
ENSG00000125740	ENST00000592436.5	PB.15837.4	45468587	TRUE	711	711	TGA	TGA	FALSE	FALSE	-1	-1	FALSE	FALSE	0	NA	NA	NA
ENSG00000127452	PB.15033.6	PB.15033.1	9811717	TRUE	819	819	TAA	TAA	FALSE	FALSE	-820	-820	FALSE	FALSE	0	NA	NA	NA
ENSG00000128271	ENST00000880360.1	ENST00000880356.1	24433405	TRUE	1236	1236	TGA	TGA	FALSE	FALSE	-905	-905	FALSE	FALSE	0	NA	NA	NA
ENSG00000128271	ENST00000880360.1	ENST00000439591.1	24433405	TRUE	1236	230	TGA	NA	FALSE	TRUE	-905	NA	FALSE	NA	-1006	2	-8822	frame_disrupted
ENSG00000128271	ENST00000880360.1	ENST00000880357.1	24433405	TRUE	1236	1236	TGA	TGA	FALSE	FALSE	-905	-905	FALSE	FALSE	0	NA	NA	NA
ENSG00000129484	ENST00000527915.5	ENST00000859468.1	20343642	TRUE	1593	1554	TAA	TGA	FALSE	FALSE	-127	-158	FALSE	FALSE	-39	2	-195	frame_preserved
ENSG00000129484	ENST00000859468.1	ENST00000527915.5	20343642	TRUE	1554	1593	TGA	TAA	FALSE	FALSE	-158	-127	FALSE	FALSE	39	2	195	frame_preserved
ENSG00000130544	ENST00000944189.1	ENST00000944190.1	7075075	TRUE	1269	1290	TGA	TGA	FALSE	FALSE	-865	-865	FALSE	FALSE	21	1	21	frame_preserved
ENSG00000131462	ENST00000589688.2	ENST00000879462.1	42609738	TRUE	405	1227	TAA	TGA	FALSE	FALSE	672	-196	TRUE	FALSE	822	1	-46	frame_disrupted
ENSG00000131462	ENST00000589688.2	ENST00000251413.8	42609738	TRUE	405	1353	TAA	TGA	FALSE	FALSE	672	-196	TRUE	FALSE	948	1	80	frame_disrupted
ENSG00000131462	ENST00000879462.1	ENST00000589688.2	42609738	TRUE	1227	405	TGA	TAA	FALSE	FALSE	-196	672	FALSE	TRUE	-822	1	46	frame_disrupted
ENSG00000131844	ENST00000682876.1	ENST00000683789.1	71587426	TRUE	1818	1575	TAA	TAA	FALSE	FALSE	-116	-116	FALSE	FALSE	-243	2	-243	frame_preserved
ENSG00000132434	PB.29262.20	ENST00000254770.3	55366026	TRUE	1110	1350	TGA	TAA	FALSE	FALSE	404	-93	TRUE	FALSE	240	1	-257	frame_disrupted
ENSG00000132434	PB.29262.20	PB.29262.7	55366026	TRUE	1110	1350	TGA	TAA	FALSE	FALSE	404	-93	TRUE	FALSE	240	1	-257	frame_disrupted
ENSG00000132434	ENST00000254770.3	PB.29262.20	55366026	TRUE	1350	1110	TAA	TGA	FALSE	FALSE	-93	404	FALSE	TRUE	-240	1	257	frame_disrupted
ENSG00000132434	ENST00000254770.3	PB.29262.7	55366026	TRUE	1350	1350	TAA	TAA	FALSE	FALSE	-93	-93	FALSE	FALSE	0	NA	NA	NA
ENSG00000132640	ENST00000618918.4	PB.19115.41	11918459	TRUE	1383	1383	TGA	TGA	FALSE	FALSE	-1031	-1031	FALSE	FALSE	0	NA	NA	NA
ENSG00000132640	ENST00000618918.4	PB.19115.7	11918459	TRUE	1383	1383	TGA	TGA	FALSE	FALSE	-1031	-1031	FALSE	FALSE	0	NA	NA	NA
